target,window_size,prediction_horizon,model,test_windows,positive_count,positive_rate,macro_f1,positive_recall,positive_precision,positive_f1,pr_auc,roc_auc
GripLost,5,3,rf_smote,880,21,0.023863636363636365,0.7135416666666667,0.3333333333333333,0.6363636363636364,0.4375,0.5105650953766749,0.9218360219524364
ProtectiveStop,10,3,rf_smote,464,6,0.01293103448275862,0.7478260869565218,0.3333333333333333,1.0,0.5,0.5078945742182672,0.6730349344978166
System_Failure,5,10,rf_smote,516,47,0.09108527131782945,0.5102633293012003,0.0425531914893617,0.25,0.07272727272727272,0.27995090171193476,0.8223472304132832
