target,window_size,prediction_horizon,model,valid_splits,test_positive_count_mean,test_positive_count_min,test_positive_count_max,runs_with_tp_rate,positive_recall_mean,positive_recall_std,positive_recall_median,positive_precision_mean,positive_precision_std,positive_precision_median,positive_f1_mean,positive_f1_std,positive_f1_median,macro_f1_mean,macro_f1_std,macro_f1_median,pr_auc_mean,pr_auc_std,pr_auc_median,roc_auc_mean,roc_auc_std,roc_auc_median
System_Failure,5,10,rf_smote,30,40.03333333333333,13,67,0.7333333333333333,0.07489890959423051,0.09622113097469316,0.046031746031746035,0.23225453290670683,0.2177804212491423,0.19090909090909092,0.09630572619326715,0.09347889245334984,0.0734006734006734,0.5251279330434875,0.04935301269301274,0.5109006972512202,0.20543127431380506,0.08941912419682607,0.19684133421587258,0.761794901174918,0.08171552220622123,0.7535958251402133
ProtectiveStop,10,3,rf_smote,30,5.0,3,9,0.1,0.05,0.15605079894653484,0.0,0.1,0.3,0.0,0.06555555555555555,0.20045934903935994,0.0,0.5301739197164012,0.10066927125212896,0.4983195860122315,0.3349972863048555,0.30152269533596043,0.2699979757428975,0.7455335480399724,0.22972747258747764,0.7751160876160876
GripLost,5,3,rf_smote,30,16.933333333333334,6,30,1.0,0.23814309455976124,0.11122140645901818,0.23809523809523808,0.5405904280904281,0.1743093765260059,0.5357142857142857,0.31636481135425154,0.11339451679926542,0.31918505942275044,0.6539641479448695,0.05734663737380457,0.6549323445855211,0.38190875458918006,0.10857523453890436,0.3983120094687187,0.9086982057680135,0.0477131383071287,0.918899867519132
