target,model,seed,test_block,validation_block,core_train_blocks,final_train_blocks,core_train_windows,validation_windows,final_train_windows,test_windows,train_positive_count,best_epoch,best_validation_loss,model_parameters,device,torch_version,cuda_version,elapsed_seconds
System_Failure,lstm,42,4,5,7,8,3226,470,3696,339,888,19,0.34991112091439835,7713,cuda,2.7.1+cu128,12.8,3.2731443000011495
System_Failure,lstm,43,4,5,7,8,3226,470,3696,339,888,19,0.35092195481696026,7713,cuda,2.7.1+cu128,12.8,3.5072952000045916
System_Failure,lstm,44,4,5,7,8,3226,470,3696,339,888,26,0.3359529587816685,7713,cuda,2.7.1+cu128,12.8,4.666539300000295
System_Failure,lstm,42,5,7,7,8,3090,475,3565,470,893,18,0.4902620133600737,7713,cuda,2.7.1+cu128,12.8,3.004177599999821
System_Failure,lstm,43,5,7,7,8,3090,475,3565,470,893,21,0.47066070958187706,7713,cuda,2.7.1+cu128,12.8,3.8239986000044155
System_Failure,lstm,44,5,7,7,8,3090,475,3565,470,893,23,0.4651179243388929,7713,cuda,2.7.1+cu128,12.8,4.155797799998254
System_Failure,lstm,42,7,8,7,8,3371,189,3560,475,874,24,0.2769130766391754,7713,cuda,2.7.1+cu128,12.8,4.144495000000461
System_Failure,lstm,43,7,8,7,8,3371,189,3560,475,874,30,0.2267744243144989,7713,cuda,2.7.1+cu128,12.8,5.228923900001973
System_Failure,lstm,44,7,8,7,8,3371,189,3560,475,874,24,0.44131213426589966,7713,cuda,2.7.1+cu128,12.8,4.374068000004627
System_Failure,lstm,42,8,9,7,8,3285,561,3846,189,938,7,1.0265484363000024,7713,cuda,2.7.1+cu128,12.8,1.574379500001669
System_Failure,lstm,43,8,9,7,8,3285,561,3846,189,938,8,1.0100796880887792,7713,cuda,2.7.1+cu128,12.8,1.9522436000042944
System_Failure,lstm,44,8,9,7,8,3285,561,3846,189,938,9,0.9837180226244391,7713,cuda,2.7.1+cu128,12.8,2.3227413999993587
System_Failure,lstm,42,9,10,7,8,2749,725,3474,561,790,10,0.8703138592325408,7713,cuda,2.7.1+cu128,12.8,2.2136914000002434
System_Failure,lstm,43,9,10,7,8,2749,725,3474,561,790,11,0.8101552165787795,7713,cuda,2.7.1+cu128,12.8,2.482655399995565
System_Failure,lstm,44,9,10,7,8,2749,725,3474,561,790,13,0.7436259380702315,7713,cuda,2.7.1+cu128,12.8,2.6070006000009016
System_Failure,lstm,42,10,1,7,8,2881,429,3310,725,768,11,0.7793096459551013,7713,cuda,2.7.1+cu128,12.8,2.2319438999984413
System_Failure,lstm,43,10,1,7,8,2881,429,3310,725,768,6,1.0929109675067288,7713,cuda,2.7.1+cu128,12.8,1.3588624999974854
System_Failure,lstm,44,10,1,7,8,2881,429,3310,725,768,12,0.7424664943368284,7713,cuda,2.7.1+cu128,12.8,2.4723775000020396
ProtectiveStop,1d_cnn,42,1,2,7,8,3185,421,3606,429,536,14,0.317457115423651,8801,cuda,2.7.1+cu128,12.8,2.54456460000074
ProtectiveStop,1d_cnn,43,1,2,7,8,3185,421,3606,429,536,11,0.32426000136944005,8801,cuda,2.7.1+cu128,12.8,2.1943243999994593
ProtectiveStop,1d_cnn,44,1,2,7,8,3185,421,3606,429,536,8,0.36836407954789113,8801,cuda,2.7.1+cu128,12.8,2.001549000000523
ProtectiveStop,1d_cnn,42,2,3,7,8,3188,426,3614,421,528,21,0.4101518705976961,8801,cuda,2.7.1+cu128,12.8,4.217918800000916
ProtectiveStop,1d_cnn,43,2,3,7,8,3188,426,3614,421,528,19,0.36867846261727416,8801,cuda,2.7.1+cu128,12.8,3.6724430000031134
ProtectiveStop,1d_cnn,44,2,3,7,8,3188,426,3614,421,528,17,0.4012000476810294,8801,cuda,2.7.1+cu128,12.8,3.10712980000244
ProtectiveStop,1d_cnn,42,3,4,7,8,3270,339,3609,426,526,5,0.582585054864574,8801,cuda,2.7.1+cu128,12.8,1.193336199998157
ProtectiveStop,1d_cnn,43,3,4,7,8,3270,339,3609,426,526,9,0.5504637372880559,8801,cuda,2.7.1+cu128,12.8,2.2469260999932885
ProtectiveStop,1d_cnn,44,3,4,7,8,3270,339,3609,426,526,10,0.5514275094049167,8801,cuda,2.7.1+cu128,12.8,2.1261766999959946
ProtectiveStop,1d_cnn,42,4,5,7,8,3226,470,3696,339,520,35,0.3097256675045541,8801,cuda,2.7.1+cu128,12.8,6.496783399998094
ProtectiveStop,1d_cnn,43,4,5,7,8,3226,470,3696,339,520,15,0.3500763626808816,8801,cuda,2.7.1+cu128,12.8,3.3137825000012526
ProtectiveStop,1d_cnn,44,4,5,7,8,3226,470,3696,339,520,11,0.37062083539810586,8801,cuda,2.7.1+cu128,12.8,2.553409999993164
ProtectiveStop,1d_cnn,42,5,7,7,8,3090,475,3565,470,494,5,0.7094898479863218,8801,cuda,2.7.1+cu128,12.8,1.2798409000024549
ProtectiveStop,1d_cnn,43,5,7,7,8,3090,475,3565,470,494,4,0.7521589387090583,8801,cuda,2.7.1+cu128,12.8,1.1114622000022791
ProtectiveStop,1d_cnn,44,5,7,7,8,3090,475,3565,470,494,6,0.7125953486091212,8801,cuda,2.7.1+cu128,12.8,1.5282865000044694
ProtectiveStop,1d_cnn,42,7,8,7,8,3371,189,3560,475,494,17,0.09727131575345993,8801,cuda,2.7.1+cu128,12.8,3.1715109000069788
ProtectiveStop,1d_cnn,43,7,8,7,8,3371,189,3560,475,494,19,0.10336162149906158,8801,cuda,2.7.1+cu128,12.8,3.5101832000000286
ProtectiveStop,1d_cnn,44,7,8,7,8,3371,189,3560,475,494,18,0.10543709993362427,8801,cuda,2.7.1+cu128,12.8,3.1582197999960044
ProtectiveStop,1d_cnn,42,8,9,7,8,3285,561,3846,189,546,3,0.9591627043411268,8801,cuda,2.7.1+cu128,12.8,1.0589525999967009
ProtectiveStop,1d_cnn,43,8,9,7,8,3285,561,3846,189,546,4,0.968363073792262,8801,cuda,2.7.1+cu128,12.8,1.2672338999982458
ProtectiveStop,1d_cnn,44,8,9,7,8,3285,561,3846,189,546,5,0.985060468820752,8801,cuda,2.7.1+cu128,12.8,1.4395177999977022
ProtectiveStop,1d_cnn,42,9,10,7,8,2749,725,3474,561,441,11,0.6380504343427461,8801,cuda,2.7.1+cu128,12.8,2.4209172999981092
ProtectiveStop,1d_cnn,43,9,10,7,8,2749,725,3474,561,441,10,0.6643664525295127,8801,cuda,2.7.1+cu128,12.8,1.876911499995913
ProtectiveStop,1d_cnn,44,9,10,7,8,2749,725,3474,561,441,8,0.6506891877075721,8801,cuda,2.7.1+cu128,12.8,1.5623131999964244
ProtectiveStop,1d_cnn,42,10,1,7,8,2881,429,3310,725,419,14,0.310459556140544,8801,cuda,2.7.1+cu128,12.8,3.1693105999947875
ProtectiveStop,1d_cnn,43,10,1,7,8,2881,429,3310,725,419,12,0.4448151805878797,8801,cuda,2.7.1+cu128,12.8,2.3360545999967144
ProtectiveStop,1d_cnn,44,10,1,7,8,2881,429,3310,725,419,5,0.47192876072196693,8801,cuda,2.7.1+cu128,12.8,1.1015460999988136
ProtectiveStop,lstm,42,1,2,7,8,3185,421,3606,429,536,18,0.31282019346173756,7713,cuda,2.7.1+cu128,12.8,3.52729559999716
ProtectiveStop,lstm,43,1,2,7,8,3185,421,3606,429,536,15,0.3751286971880535,7713,cuda,2.7.1+cu128,12.8,3.039472799995565
ProtectiveStop,lstm,44,1,2,7,8,3185,421,3606,429,536,14,0.41376446375088,7713,cuda,2.7.1+cu128,12.8,2.765486600001168
ProtectiveStop,lstm,42,2,3,7,8,3188,426,3614,421,528,10,0.6138358409975616,7713,cuda,2.7.1+cu128,12.8,2.642347500004689
ProtectiveStop,lstm,43,2,3,7,8,3188,426,3614,421,528,15,0.6568146247259328,7713,cuda,2.7.1+cu128,12.8,2.969978799999808
ProtectiveStop,lstm,44,2,3,7,8,3188,426,3614,421,528,17,0.5811135978765891,7713,cuda,2.7.1+cu128,12.8,3.287960200002999
ProtectiveStop,lstm,42,3,4,7,8,3270,339,3609,426,526,8,0.557767886151958,7713,cuda,2.7.1+cu128,12.8,1.7474866000047768
ProtectiveStop,lstm,43,3,4,7,8,3270,339,3609,426,526,9,0.5486257587913919,7713,cuda,2.7.1+cu128,12.8,1.99504710000474
ProtectiveStop,lstm,44,3,4,7,8,3270,339,3609,426,526,9,0.5544005660532498,7713,cuda,2.7.1+cu128,12.8,1.7164170000032755
ProtectiveStop,lstm,42,4,5,7,8,3226,470,3696,339,520,29,0.2763641302255874,7713,cuda,2.7.1+cu128,12.8,4.9671839000002365
