target,model,seed,test_block,event_cycle_count,detected_event_cycle_count,event_cycle_recall,normal_cycle_count,false_alarm_cycle_count,normal_cycle_false_alarm_rate,window_macro_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_pr_auc
System_Failure,1d_cnn,42,1,7,7,1.0,17,4,0.23529411764705882,0.8121730225517041,0.8222222222222222,0.6324786324786325,0.714975845410628,0.8074766529137601
System_Failure,1d_cnn,43,1,7,7,1.0,17,1,0.058823529411764705,0.8479438677709863,0.8469387755102041,0.7094017094017094,0.772093023255814,0.823997336129617
System_Failure,1d_cnn,44,1,7,7,1.0,17,1,0.058823529411764705,0.8171516754850088,0.8172043010752689,0.6495726495726496,0.7238095238095238,0.8067338009067856
System_Failure,1d_cnn,42,2,5,5,1.0,18,1,0.05555555555555555,0.8137992038920832,0.5882352941176471,0.9090909090909091,0.7142857142857143,0.4676136492210288
System_Failure,1d_cnn,43,2,5,5,1.0,18,2,0.1111111111111111,0.7714496382183977,0.5446428571428571,0.7922077922077922,0.6455026455026455,0.4738098060526101
System_Failure,1d_cnn,44,2,5,5,1.0,18,2,0.1111111111111111,0.801695713612812,0.5775862068965517,0.8701298701298701,0.694300518134715,0.46614845552129014
System_Failure,1d_cnn,42,3,6,6,1.0,18,2,0.1111111111111111,0.7933042212518195,0.7051282051282052,0.632183908045977,0.6666666666666666,0.729771819436172
System_Failure,1d_cnn,43,3,6,6,1.0,18,2,0.1111111111111111,0.7540393163176465,0.6714285714285714,0.5402298850574713,0.5987261146496815,0.6895160476036385
System_Failure,1d_cnn,44,3,6,6,1.0,18,2,0.1111111111111111,0.7837890781518516,0.6973684210526315,0.6091954022988506,0.6503067484662577,0.68128140286654
System_Failure,1d_cnn,42,4,9,9,1.0,8,3,0.375,0.7872499797554458,0.5952380952380952,0.872093023255814,0.7075471698113207,0.8223441940503229
System_Failure,1d_cnn,43,4,9,9,1.0,8,2,0.25,0.8043977717397006,0.6371681415929203,0.8372093023255814,0.7236180904522613,0.7702621906253327
System_Failure,1d_cnn,44,4,9,9,1.0,8,2,0.25,0.7901721551389516,0.6194690265486725,0.813953488372093,0.7035175879396985,0.748590602055286
System_Failure,1d_cnn,42,5,6,6,1.0,19,0,0.0,0.8922841864018334,0.7865168539325843,0.8641975308641975,0.8235294117647058,0.8643086462803081
System_Failure,1d_cnn,43,5,6,6,1.0,19,0,0.0,0.880105639086462,0.7526881720430108,0.8641975308641975,0.8045977011494253,0.813686905530717
System_Failure,1d_cnn,44,5,6,6,1.0,19,3,0.15789473684210525,0.8726505233735489,0.7047619047619048,0.9135802469135802,0.7956989247311828,0.8271956051208594
System_Failure,1d_cnn,42,7,9,9,1.0,15,1,0.06666666666666667,0.8697691197691197,0.8875,0.71,0.7888888888888889,0.8526281801167895
System_Failure,1d_cnn,43,7,9,9,1.0,15,1,0.06666666666666667,0.8824013543081586,0.8181818181818182,0.81,0.8140703517587939,0.8574801228608397
System_Failure,1d_cnn,44,7,9,9,1.0,15,1,0.06666666666666667,0.8507173606390832,0.8701298701298701,0.67,0.7570621468926554,0.8417665677614269
System_Failure,1d_cnn,42,8,5,4,0.8,7,0,0.0,0.7978609625668449,0.9473684210526315,0.5,0.6545454545454545,0.7521847246950142
System_Failure,1d_cnn,43,8,5,5,1.0,7,0,0.0,0.8047608353918707,0.6756756756756757,0.6944444444444444,0.684931506849315,0.8143785775466977
System_Failure,1d_cnn,44,8,5,5,1.0,7,2,0.2857142857142857,0.7508239947264337,0.5434782608695652,0.6944444444444444,0.6097560975609756,0.7639623591186817
System_Failure,1d_cnn,42,9,20,19,0.95,6,2,0.3333333333333333,0.7691674667398162,0.7969924812030075,0.5760869565217391,0.668769716088328,0.758104864232412
System_Failure,1d_cnn,43,9,20,18,0.9,6,4,0.6666666666666666,0.7569934588182192,0.6836158192090396,0.657608695652174,0.6703601108033241,0.7636487576164959
System_Failure,1d_cnn,44,9,20,19,0.95,6,4,0.6666666666666666,0.7914234353020541,0.8,0.6304347826086957,0.7051671732522796,0.7788982504489241
System_Failure,1d_cnn,42,10,20,19,0.95,7,4,0.5714285714285714,0.7760061254097039,0.6428571428571429,0.7427184466019418,0.6891891891891891,0.7877973107824704
System_Failure,1d_cnn,43,10,20,19,0.95,7,3,0.42857142857142855,0.7706595737097235,0.6322314049586777,0.7427184466019418,0.6830357142857143,0.7931942829460308
System_Failure,1d_cnn,44,10,20,20,1.0,7,6,0.8571428571428571,0.7718458034007949,0.5901639344262295,0.8737864077669902,0.7045009784735812,0.8014657915814043
System_Failure,lstm,42,1,7,7,1.0,17,0,0.0,0.8122283264911857,0.8470588235294118,0.6153846153846154,0.7128712871287128,0.8243465370325738
