target,window_size,prediction_horizon,model,runs_with_tp_rate_raw_cycle,runs_with_tp_rate_cycle_run,positive_recall_mean_raw_cycle,positive_recall_mean_cycle_run,positive_f1_mean_raw_cycle,positive_f1_mean_cycle_run,pr_auc_mean_raw_cycle,pr_auc_mean_cycle_run
System_Failure,5,10,rf_smote,0.7333333333333333,0.8333333333333334,0.0748989095942305,0.0643694785512187,0.0963057261932671,0.0920468290823026,0.205431274313805,0.2061757467944333
ProtectiveStop,10,3,rf_smote,0.1,0.1333333333333333,0.05,0.0666666666666666,0.0655555555555555,0.0866666666666666,0.3349972863048555,0.4150804377426514
GripLost,5,3,rf_smote,1.0,0.9666666666666668,0.2381430945597612,0.2247793945820261,0.3163648113542515,0.3057888233052709,0.38190875458918,0.4127004238206868
