target,window_size,model,macro_f1_raw_cycle,macro_f1_cycle_run,macro_f1_delta,positive_recall_raw_cycle,positive_recall_cycle_run,positive_recall_delta,positive_f1_raw_cycle,positive_f1_cycle_run,positive_f1_delta,pr_auc_raw_cycle,pr_auc_cycle_run,pr_auc_delta
System_Failure,5,rf_smote,0.851091262735072,0.8166096226399576,-0.03448164009511434,0.6390532544378699,0.5555555555555556,-0.08349769888231429,0.7422680412371134,0.6954436450839329,-0.04682439615318057,0.8580863015678172,0.861331111901753,0.003244810333935866
System_Failure,10,rf_smote,0.8592776753014142,0.8716612377850164,0.012383562483602173,0.6944444444444444,0.8446601941747572,0.15021574973031282,0.7882882882882883,0.8,0.011711711711711703,0.8935575722218851,0.8336135183256612,-0.059944053896223926
System_Failure,20,rf_smote,0.6337766009739217,0.7424914675767917,0.10871486660287,0.4540540540540541,0.7277227722772277,0.2736687182231736,0.5472312703583062,0.7,0.15276872964169375,0.6770395586729248,0.6688670714944639,-0.008172487178460863
ProtectiveStop,5,rf_smote,0.837441386758534,0.8641688770999116,0.02672749034137767,0.5752212389380531,0.68,0.10477876106194695,0.7027027027027027,0.7628205128205128,0.06011781011781003,0.8445041081743693,0.9039274261183228,0.0594233179439535
ProtectiveStop,10,rf_smote,0.9323062975198664,0.8861697689313885,-0.04613652858847783,0.8486842105263158,0.8611111111111112,0.012426900584795342,0.8865979381443299,0.8078175895765473,-0.0787803485677826,0.939365578781297,0.8292374337971813,-0.11012814498411572
ProtectiveStop,20,rf_smote,0.7023669745353924,0.7858231881801907,0.08345621364479827,0.4927536231884058,0.7225806451612903,0.22982702197288446,0.5787234042553191,0.7066246056782335,0.1279012014229144,0.6497602282492193,0.6940049213693581,0.04424469312013879
GripLost,5,rf_smote,0.8796172560307017,0.7646454623004475,-0.11497179373025423,0.6984126984126984,0.3820224719101123,-0.3163902265025861,0.7719298245614035,0.5528455284552846,-0.2190842961061189,0.8147833117615214,0.670010973698047,-0.14477233806347445
GripLost,10,rf_smote,0.7331828725471756,0.841212474194102,0.10802960164692632,0.3478260869565217,0.5806451612903226,0.23281907433380095,0.5128205128205128,0.6990291262135923,0.18620861339307948,0.7189389053406292,0.8492560222722033,0.1303171169315741
GripLost,20,rf_smote,0.6899414727099497,0.7743777692686395,0.0844362965586899,0.2916666666666667,0.4411764705882353,0.1495098039215686,0.4516129032258064,0.594059405940594,0.14244650271478765,0.6283917443855662,0.7608929768724656,0.13250123248689938
