target,window_size,prediction_horizon,model,valid_splits,test_positive_count_mean,test_positive_count_min,test_positive_count_max,runs_with_tp_rate,positive_recall_mean,positive_recall_std,positive_recall_median,positive_precision_mean,positive_precision_std,positive_precision_median,positive_f1_mean,positive_f1_std,positive_f1_median,macro_f1_mean,macro_f1_std,macro_f1_median,pr_auc_mean,pr_auc_std,pr_auc_median,roc_auc_mean,roc_auc_std,roc_auc_median
System_Failure,5,10,rf_smote,30,43.1,7,84,0.8333333333333334,0.06436947855121872,0.06904497976617019,0.04941284123837121,0.3174007746066569,0.3017512985927064,0.2,0.09204682908230263,0.07148986598351974,0.08243929983060418,0.5215392060080881,0.039954399868852526,0.5120204967507587,0.2061757467944333,0.10533984847940668,0.17891243827801395,0.7659151651455064,0.07616949891099987,0.7694123701304166
ProtectiveStop,10,3,rf_smote,30,5.7,3,9,0.13333333333333333,0.06666666666666667,0.18053418676968802,0.0,0.13333333333333333,0.33993463423951903,0.0,0.08666666666666667,0.2276449477195183,0.0,0.5403843509715636,0.11433936610929184,0.4968576430019216,0.41508043774265146,0.3212209618909035,0.40349892610525523,0.795795067963478,0.20314948813334802,0.8085652906945124
GripLost,5,3,rf_smote,30,17.666666666666668,6,33,0.9666666666666667,0.22477939458202617,0.1390951760325464,0.17424242424242425,0.5803174603174602,0.2652546429663096,0.6,0.30578882330527096,0.1553845121624225,0.2857142857142857,0.6485642464411047,0.07857707826725632,0.6398216769454428,0.41270042382068683,0.13215550627584405,0.4291429422048363,0.9068486317961503,0.06028890584283144,0.9307502246804544
