target,window_size,prediction_horizon,model,test_windows,positive_count,positive_rate,macro_f1,positive_recall,positive_precision,positive_f1,pr_auc,roc_auc
GripLost,5,3,rf_smote,933,30,0.03215434083601286,0.6360302722946087,0.16666666666666666,1.0,0.2857142857142857,0.5099134827141464,0.8675526024363234
ProtectiveStop,5,10,rf_smote,639,23,0.03599374021909233,0.5716201117318436,0.08695652173913043,1.0,0.16,0.21243008110692713,0.825981084133258
System_Failure,5,10,rf_smote,570,25,0.043859649122807015,0.5820171480144405,0.12,0.42857142857142855,0.1875,0.32865697663640087,0.8940183486238532
