target,window_size,prediction_horizon,model,split_seed,train_windows,train_positive_count,train_positive_rate,train_cycle_runs,test_cycle_runs,threshold,test_windows,positive_count,positive_rate,positive_recall,positive_precision,positive_f1,macro_f1,false_positive_rate,tn,fp,fn,tp
System_Failure,5,10,rf_smote,42,2175,176,0.08091954022988505,132,34,0.05,570,25,0.043859649122807015,1.0,0.07142857142857142,0.13333333333333333,0.35424836601307186,0.5963302752293578,220,325,0,25
System_Failure,5,10,rf_smote,42,2175,176,0.08091954022988505,132,34,0.1,570,25,0.043859649122807015,0.88,0.10526315789473684,0.18803418803418803,0.4891605818758137,0.3431192660550459,358,187,3,22
System_Failure,5,10,rf_smote,42,2175,176,0.08091954022988505,132,34,0.15,570,25,0.043859649122807015,0.88,0.15492957746478872,0.2634730538922156,0.568529949351041,0.22018348623853212,425,120,3,22
System_Failure,5,10,rf_smote,42,2175,176,0.08091954022988505,132,34,0.2,570,25,0.043859649122807015,0.8,0.21978021978021978,0.3448275862068966,0.6353044181034483,0.13027522935779817,474,71,5,20
System_Failure,5,10,rf_smote,42,2175,176,0.08091954022988505,132,34,0.3,570,25,0.043859649122807015,0.56,0.358974358974359,0.4375,0.702021375464684,0.045871559633027525,520,25,11,14
System_Failure,5,10,rf_smote,42,2175,176,0.08091954022988505,132,34,0.4,570,25,0.043859649122807015,0.28,0.3181818181818182,0.2978723404255319,0.6338401043390239,0.027522935779816515,530,15,18,7
System_Failure,5,10,rf_smote,42,2175,176,0.08091954022988505,132,34,0.5,570,25,0.043859649122807015,0.12,0.42857142857142855,0.1875,0.5820171480144405,0.007339449541284404,541,4,22,3
System_Failure,5,10,rf_smote,43,2155,176,0.08167053364269142,132,34,0.05,590,25,0.0423728813559322,1.0,0.05924170616113744,0.11185682326621924,0.28512350030978084,0.7026548672566372,168,397,0,25
System_Failure,5,10,rf_smote,43,2155,176,0.08167053364269142,132,34,0.1,590,25,0.0423728813559322,0.96,0.07920792079207921,0.14634146341463414,0.408851482881026,0.49380530973451325,286,279,1,24
System_Failure,5,10,rf_smote,43,2155,176,0.08167053364269142,132,34,0.15,590,25,0.0423728813559322,0.96,0.09917355371900827,0.1797752808988764,0.4699533578645532,0.3858407079646018,347,218,1,24
System_Failure,5,10,rf_smote,43,2155,176,0.08167053364269142,132,34,0.2,590,25,0.0423728813559322,0.88,0.11224489795918367,0.19909502262443438,0.5072638825322381,0.30796460176991153,391,174,3,22
System_Failure,5,10,rf_smote,43,2155,176,0.08167053364269142,132,34,0.3,590,25,0.0423728813559322,0.8,0.1652892561983471,0.273972602739726,0.5857290479849501,0.17876106194690267,464,101,5,20
System_Failure,5,10,rf_smote,43,2155,176,0.08167053364269142,132,34,0.4,590,25,0.0423728813559322,0.48,0.16901408450704225,0.25,0.591789667896679,0.10442477876106195,506,59,13,12
System_Failure,5,10,rf_smote,43,2155,176,0.08167053364269142,132,34,0.5,590,25,0.0423728813559322,0.36,0.2,0.2571428571428571,0.6051480051480052,0.06371681415929203,529,36,16,9
System_Failure,5,10,rf_smote,44,2125,149,0.07011764705882353,132,34,0.05,620,52,0.08387096774193549,0.9807692307692307,0.12944162436548223,0.22869955156950672,0.3977250906462143,0.6038732394366197,225,343,1,51
System_Failure,5,10,rf_smote,44,2125,149,0.07011764705882353,132,34,0.1,620,52,0.08387096774193549,0.8461538461538461,0.15827338129496402,0.26666666666666666,0.5003663003663004,0.4119718309859155,334,234,8,44
System_Failure,5,10,rf_smote,44,2125,149,0.07011764705882353,132,34,0.15,620,52,0.08387096774193549,0.7307692307692307,0.18536585365853658,0.29571984435797666,0.5557948153631186,0.29401408450704225,401,167,14,38
System_Failure,5,10,rf_smote,44,2125,149,0.07011764705882353,132,34,0.2,620,52,0.08387096774193549,0.4807692307692308,0.16556291390728478,0.24630541871921183,0.5493822175563272,0.22183098591549297,442,126,27,25
System_Failure,5,10,rf_smote,44,2125,149,0.07011764705882353,132,34,0.3,620,52,0.08387096774193549,0.17307692307692307,0.10975609756097561,0.13432835820895522,0.5147229494480581,0.12852112676056338,495,73,43,9
System_Failure,5,10,rf_smote,44,2125,149,0.07011764705882353,132,34,0.4,620,52,0.08387096774193549,0.057692307692307696,0.07317073170731707,0.06451612903225806,0.49433304272013945,0.06690140845070422,530,38,49,3
System_Failure,5,10,rf_smote,44,2125,149,0.07011764705882353,132,34,0.5,620,52,0.08387096774193549,0.038461538461538464,0.09523809523809523,0.0547945205479452,0.4978342782688312,0.03345070422535211,549,19,50,2
System_Failure,5,10,rf_smote,45,2217,117,0.05277401894451962,132,34,0.05,528,84,0.1590909090909091,0.5833333333333334,0.16838487972508592,0.2613333333333333,0.42728928046989717,0.545045045045045,202,242,35,49
System_Failure,5,10,rf_smote,45,2217,117,0.05277401894451962,132,34,0.1,528,84,0.1590909090909091,0.47619047619047616,0.22099447513812154,0.3018867924528302,0.5340028146840636,0.31756756756756754,303,141,44,40
System_Failure,5,10,rf_smote,45,2217,117,0.05277401894451962,132,34,0.15,528,84,0.1590909090909091,0.2857142857142857,0.22641509433962265,0.25263157894736843,0.5443296462866172,0.18468468468468469,362,82,60,24
