parameter_proxy,cycle_runs,feature_count,kmeans_k,silhouette,davies_bouldin,repeat_ari_mean,gmm_bic_best_components_1to5,gmm_bic_k1,gmm_bic_k2,gmm_bic_k3,gmm_bic_k4,gmm_bic_k5
movement_speed,178,30,3,0.20444567935559593,1.5999979246287632,0.9052248231346688,5,15465.170547910426,13864.216262873073,12453.416105353732,11678.581046052685,10977.82024352456
workload,178,30,3,0.403743135548682,1.4709634969744154,0.9419233691812396,5,15465.170547910426,13145.71804574901,12818.066486974792,12776.411566834491,12742.023007520762
gripping_force,178,5,3,0.27279469002470247,1.1703903539217675,0.9057862636353872,5,2577.5284246517376,1935.0119273846187,1671.801690235768,1547.5520746386449,1512.3101234474746
