target,model,feature,window_statistic,false_alarm_window_count,true_negative_window_count,false_alarm_median,true_negative_median,true_negative_iqr,robust_shift_iqr,absolute_robust_shift_iqr
System_Failure,rf_window_features,Current_J0,mean,13,1714,-0.1500124927610159,-0.059890980878844854,0.23597099160979268,-0.3819177572097427,0.3819177572097427
System_Failure,rf_window_features,Current_J1,mean,13,1714,-2.332779014110565,-2.1916443407535553,0.343579772114754,-0.4107770154462746,0.4107770154462746
System_Failure,rf_window_features,Current_J2,mean,13,1714,-1.2643671870231628,-1.2063512533903122,0.1692776247858998,-0.34272653403678327,0.34272653403678327
System_Failure,rf_window_features,Current_J3,mean,13,1714,-0.7753283485770226,-0.5688266335171648,0.1793048014398665,-1.1516797843760607,1.1516797843760607
System_Failure,rf_window_features,Current_J4,mean,13,1714,0.13414633814245464,-0.007925579883158207,0.19662493576761336,0.7225529024127666,0.7225529024127666
System_Failure,rf_window_features,Current_J5,mean,13,1714,0.04620947390794754,-0.006434462219476699,0.03938402625644813,1.3366824352755233,1.3366824352755233
System_Failure,rf_window_features,Temperature_J0,mean,13,1714,33.7,33.890625,5.329687500000006,-0.03576663734975023,0.03576663734975023
System_Failure,rf_window_features,Temperature_J1,mean,13,1714,36.2125,36.44375,6.387500000000003,-0.036203522504892796,0.036203522504892796
System_Failure,rf_window_features,Temperature_J2,mean,13,1714,36.6125,36.86875,6.5546875,-0.03909415971394539,0.03909415971394539
System_Failure,rf_window_features,Temperature_J3,mean,13,1714,39.68125,39.896874999999994,6.267187500000006,-0.034405385190724794,0.034405385190724794
System_Failure,rf_window_features,Temperature_J4,mean,13,1714,41.2375,41.5,7.324999999999996,-0.03583617747440314,0.03583617747440314
System_Failure,rf_window_features,Temperature_J5,mean,13,1714,40.35,40.571875000000006,7.456250000000004,-0.029756915339480855,0.029756915339480855
System_Failure,rf_window_features,Speed_J0,mean,13,1714,0.0008003803553947364,-0.0010301917671998186,0.06538191001716315,0.027998143861413943,0.027998143861413943
System_Failure,rf_window_features,Speed_J1,mean,13,1714,-0.0016904939409869257,0.0006560687033925205,0.017022178859036417,-0.13785324803667817,0.13785324803667817
System_Failure,rf_window_features,Speed_J2,mean,13,1714,-0.0034744116361252963,0.002503020435779035,0.150905617623539,-0.03961040129610087,0.03961040129610087
System_Failure,rf_window_features,Speed_J3,mean,13,1714,0.004114281199872494,-0.004273094412323531,0.1580446304031844,0.05306966513698798,0.05306966513698798
System_Failure,rf_window_features,Speed_J4,mean,13,1714,0.000451747517217882,-0.002799009717386793,0.019592492659376147,0.1659185123159405,0.1659185123159405
System_Failure,rf_window_features,Speed_J5,mean,13,1714,0.009385719889972685,-0.0015654962022381368,0.09751632879852254,0.11230135739458583,0.11230135739458583
System_Failure,rf_window_features,Tool_current,mean,13,1714,0.09968656301498413,0.10058631598949433,0.03676439821720122,-0.0244734857128499,0.0244734857128499
System_Failure,rf_window_features,Power_J0,mean,13,1714,0.003854499503268016,0.004214280213000165,0.018226110701619773,-0.01973985100947373,0.01973985100947373
System_Failure,rf_window_features,Power_J1,mean,13,1714,0.003474067384377122,0.0008960659673903137,0.04419340151634969,0.05833453249877262,0.05833453249877262
System_Failure,rf_window_features,Power_J2,mean,13,1714,0.0068937497504521165,0.07363263384322635,0.28435896884329853,-0.2346994166009653,0.2346994166009653
