target,feature_level,window_size,model,macro_f1,positive_recall,pr_auc
System_Failure,row_baseline,,rf_smote,0.7900651517559193,0.5638297872340425,0.6430020011244917
System_Failure,best_window_feature,5,rf_smote,0.8166096226399576,0.5555555555555556,0.861331111901753
ProtectiveStop,row_baseline,,rf_smote,0.8427901157335002,0.7111111111111111,0.7409239684776714
ProtectiveStop,best_window_feature,5,rf_smote,0.8641688770999116,0.68,0.9039274261183227
GripLost,row_baseline,,rf_smote,0.7622967697133882,0.4897959183673469,0.5604205684649003
GripLost,best_window_feature,10,rf_smote,0.841212474194102,0.5806451612903226,0.8492560222722033
