target,variant,feature_columns,feature_count,summary_feature_count,test_block,train_blocks,train_windows,test_windows,train_positive_count,decision_threshold,baseline_12_match,elapsed_seconds
System_Failure,tool_current_only,Tool_current,1,7,3,8,3609,426,887,0.5,,1.2223698000016157
System_Failure,tool_current_only,Tool_current,1,7,4,8,3696,339,888,0.5,,1.4088149999988673
System_Failure,tool_current_only,Tool_current,1,7,5,8,3565,470,893,0.5,,1.2191259999999602
System_Failure,tool_current_only,Tool_current,1,7,7,8,3560,475,874,0.5,,1.2214720000010857
System_Failure,tool_current_only,Tool_current,1,7,8,8,3846,189,938,0.5,,1.3106781999995292
System_Failure,tool_current_only,Tool_current,1,7,9,8,3474,561,790,0.5,,1.2311007999996946
System_Failure,tool_current_only,Tool_current,1,7,10,8,3310,725,768,0.5,,1.1925754000003508
System_Failure,speed_only,Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5,6,42,1,8,3606,429,857,0.5,,1.7373747999990883
System_Failure,speed_only,Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5,6,42,2,8,3614,421,897,0.5,,1.5875911000002816
System_Failure,speed_only,Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5,6,42,3,8,3609,426,887,0.5,,1.6370448999987275
System_Failure,speed_only,Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5,6,42,4,8,3696,339,888,0.5,,1.7385877999986405
System_Failure,speed_only,Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5,6,42,5,8,3565,470,893,0.5,,1.869584300002316
System_Failure,speed_only,Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5,6,42,7,8,3560,475,874,0.5,,1.81499420000182
System_Failure,speed_only,Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5,6,42,8,8,3846,189,938,0.5,,2.005993499999022
System_Failure,speed_only,Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5,6,42,9,8,3474,561,790,0.5,,1.6192281000003277
System_Failure,speed_only,Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5,6,42,10,8,3310,725,768,0.5,,1.648392999999487
System_Failure,temperature_only,Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5,6,42,1,8,3606,429,857,0.5,,1.4013397000016994
System_Failure,temperature_only,Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5,6,42,2,8,3614,421,897,0.5,,1.4397845000021334
System_Failure,temperature_only,Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5,6,42,3,8,3609,426,887,0.5,,1.358250000001135
System_Failure,temperature_only,Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5,6,42,4,8,3696,339,888,0.5,,1.662767800000438
System_Failure,temperature_only,Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5,6,42,5,8,3565,470,893,0.5,,1.7021111000030942
System_Failure,temperature_only,Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5,6,42,7,8,3560,475,874,0.5,,1.328454899998178
System_Failure,temperature_only,Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5,6,42,8,8,3846,189,938,0.5,,1.3884388000005856
System_Failure,temperature_only,Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5,6,42,9,8,3474,561,790,0.5,,1.1186623999965377
System_Failure,temperature_only,Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5,6,42,10,8,3310,725,768,0.5,,1.1244944999998552
System_Failure,drop_current_family,Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5,12,84,1,8,3606,429,857,0.5,,1.739246399996773
System_Failure,drop_current_family,Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5,12,84,2,8,3614,421,897,0.5,,1.890880400002061
System_Failure,drop_current_family,Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5,12,84,3,8,3609,426,887,0.5,,2.4803434000023117
System_Failure,drop_current_family,Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5,12,84,4,8,3696,339,888,0.5,,2.2141470999995363
System_Failure,drop_current_family,Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5,12,84,5,8,3565,470,893,0.5,,2.1395288000021537
System_Failure,drop_current_family,Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5,12,84,7,8,3560,475,874,0.5,,2.18043630000102
System_Failure,drop_current_family,Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5,12,84,8,8,3846,189,938,0.5,,2.8162728999996034
System_Failure,drop_current_family,Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5,12,84,9,8,3474,561,790,0.5,,2.1137641000022995
System_Failure,drop_current_family,Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Speed_J0;Speed_J1;Speed_J2;Speed_J3;Speed_J4;Speed_J5,12,84,10,8,3310,725,768,0.5,,1.7116229999992356
System_Failure,drop_speed,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Tool_current,13,91,1,8,3606,429,857,0.5,,2.0151785999987624
System_Failure,drop_speed,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Tool_current,13,91,2,8,3614,421,897,0.5,,1.9864003000002413
System_Failure,drop_speed,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Tool_current,13,91,3,8,3609,426,887,0.5,,1.9562697000001208
System_Failure,drop_speed,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Tool_current,13,91,4,8,3696,339,888,0.5,,1.8884548999994877
System_Failure,drop_speed,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Tool_current,13,91,5,8,3565,470,893,0.5,,1.9211585000011837
System_Failure,drop_speed,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Tool_current,13,91,7,8,3560,475,874,0.5,,2.135431899998366
System_Failure,drop_speed,Current_J0;Current_J1;Current_J2;Current_J3;Current_J4;Current_J5;Temperature_J0;Temperature_J1;Temperature_J2;Temperature_J3;Temperature_J4;Temperature_J5;Tool_current,13,91,8,8,3846,189,938,0.5,,3.4556159999992815
