target,window_size,feature_set,model,decision_threshold,valid_test_blocks,event_cycle_count_total,detected_event_cycle_count_total,event_cycle_recall_micro,normal_cycle_count_total,false_alarm_cycle_count_total,normal_cycle_false_alarm_rate_micro,false_positive_windows_on_normal_cycles_total,false_positive_windows_per_normal_cycle_micro,event_cycle_recall_mean,event_cycle_recall_std,event_cycle_recall_min,event_cycle_recall_max,normal_cycle_false_alarm_rate_mean,normal_cycle_false_alarm_rate_std,normal_cycle_false_alarm_rate_min,normal_cycle_false_alarm_rate_max,false_positive_windows_per_normal_cycle_mean,false_positive_windows_per_normal_cycle_std,false_positive_windows_per_normal_cycle_min,false_positive_windows_per_normal_cycle_max,normal_window_false_positive_rate_mean,normal_window_false_positive_rate_std,normal_window_false_positive_rate_min,normal_window_false_positive_rate_max,detected_event_delay_steps_mean_mean,detected_event_delay_steps_mean_std,detected_event_delay_steps_mean_min,detected_event_delay_steps_mean_max,window_macro_f1_mean,window_macro_f1_std,window_macro_f1_min,window_macro_f1_max,window_positive_recall_mean,window_positive_recall_std,window_positive_recall_min,window_positive_recall_max,window_positive_f1_mean,window_positive_f1_std,window_positive_f1_min,window_positive_f1_max,window_pr_auc_mean,window_pr_auc_std,window_pr_auc_min,window_pr_auc_max
System_Failure,10,all_sensors,rf_smote,0.5,9,87,87,1.0,115,6,0.05217391304347826,13,0.11304347826086956,1.0,0.0,1.0,1.0,0.04479130833619997,0.05923279569303062,0.0,0.16666666666666666,0.12658143179299008,0.23609909752503871,0.0,0.75,0.00813607878497422,0.015082077659966848,0.0,0.048,1.653174603174603,1.3815943489484643,0.0,4.428571428571429,0.8340474549396266,0.05668984383884956,0.7469026548672566,0.9313725490196079,0.7296763622044562,0.11910356852668473,0.46153846153846156,0.8888888888888888,0.7451335278013504,0.08361211205079085,0.6,0.8888888888888888,0.8243032735768566,0.09157214987779755,0.6324857706524255,0.9683698622204647
System_Failure,10,no_temperature,rf_smote,0.5,9,87,87,1.0,115,9,0.0782608695652174,20,0.17391304347826086,1.0,0.0,1.0,1.0,0.07373621963405246,0.07362790977792524,0.0,0.17647058823529413,0.18021770111553392,0.2526557466245323,0.0,0.75,0.011694675804866278,0.016087351316663747,0.0,0.048,0.8831569664902998,1.2908465390389625,0.0,4.142857142857143,0.8579614649144143,0.05589665692658762,0.7504164109757167,0.9322334004024144,0.7794486652094897,0.12933801563046352,0.48717948717948717,0.9166666666666666,0.7838615926130614,0.0815731886194404,0.6096256684491979,0.8873239436619719,0.8718088798766327,0.07388086261602501,0.7309180481828147,0.9794331945022405
ProtectiveStop,10,all_sensors,rf_smote,0.5,9,62,59,0.9516129032258065,140,6,0.04285714285714286,14,0.1,0.9320605435156519,0.15444825202724846,0.5,1.0,0.04325396825396825,0.05456601725758442,0.0,0.14285714285714285,0.0988095238095238,0.1474076827825153,0.0,0.42857142857142855,0.00657252903181917,0.009816838513617622,0.0,0.028985507246376812,0.2222222222222222,0.4361199574474328,0.0,1.375,0.8650454005603643,0.08884466506577177,0.6642246642246642,0.9842565597667638,0.7594405650216058,0.19716081800779522,0.25925925925925924,1.0,0.76199854253703,0.16927655467147226,0.358974358974359,0.9714285714285714,0.7949965578104742,0.20282689839381865,0.3802884564928475,1.0
ProtectiveStop,10,no_temperature,rf_smote,0.5,9,62,59,0.9516129032258065,140,13,0.09285714285714286,23,0.16428571428571428,0.9320605435156519,0.15444825202724846,0.5,1.0,0.07884800384800385,0.09305632454867276,0.0,0.2727272727272727,0.14474506974506973,0.1698373857622457,0.0,0.42857142857142855,0.009340836284784172,0.0109808117017523,0.0,0.028985507246376812,0.2962962962962963,0.4485248646215875,0.0,1.375,0.8605700808098486,0.10139455933739455,0.6324694795459413,0.984418948926721,0.7719035788445239,0.2163657921946389,0.25925925925925924,1.0,0.7542657559644537,0.19255661003335603,0.30434782608695654,0.9714285714285714,0.8067740810208925,0.1961743875641354,0.43460987242770976,1.0
GripLost,10,all_sensors,rf_smote,0.5,9,39,37,0.9487179487179487,163,7,0.04294478527607362,9,0.05521472392638037,0.9629629629629629,0.10475656017578483,0.6666666666666666,1.0,0.05558340295182402,0.06431867246185173,0.0,0.2,0.07198551935394042,0.09141063815866218,0.0,0.3,0.0038477446344067903,0.005638826310896859,0.0,0.018867924528301886,3.681216931216931,3.8824141831727244,0.0,12.6,0.8211415646286291,0.09818399881482291,0.6269153979005646,0.9440828402366864,0.5764901268465447,0.2337987472971423,0.2111111111111111,0.9473684210526315,0.674125311939338,0.17469340188905946,0.3486238532110092,0.9,0.8210069540717637,0.1252521150427151,0.5514902343659366,0.9694805641554869
GripLost,10,no_temperature,rf_smote,0.5,9,39,37,0.9487179487179487,163,13,0.07975460122699386,37,0.22699386503067484,0.9629629629629629,0.10475656017578483,0.6666666666666666,1.0,0.08897243107769423,0.06499037309128179,0.0,0.2,0.24296853244221664,0.21411696300551267,0.0,0.6,0.012643916387958844,0.011828549517901936,0.0,0.03773584905660377,1.6944444444444444,1.8631580782884092,0.0,5.4,0.8400134638370618,0.06778515656125457,0.749665327978581,0.9269392196486864,0.6630023694114416,0.19248505343162947,0.4222222222222222,0.9473684210526315,0.7128418692203429,0.11906575314002664,0.5454545454545454,0.8571428571428571,0.818003686367506,0.11735912502045463,0.5798802847719313,0.9570980919665129
