target,threshold_raw_cycle,positive_recall_mean_raw_cycle,positive_f1_mean_raw_cycle,false_positive_rate_mean_raw_cycle,threshold_cycle_run,positive_recall_mean_cycle_run,positive_f1_mean_cycle_run,false_positive_rate_mean_cycle_run
GripLost,0.3,0.4283735924569258,0.3803270871379435,0.012526917285665,0.3,0.4395845504398136,0.4101109121043412,0.0117540684972718
ProtectiveStop,0.15,0.3481481481481481,0.2596111950580322,0.0168121696385314,0.2,0.3296296296296296,0.3231375836638994,0.0052915791965983
System_Failure,0.3,0.2669271413577015,0.2069493979130436,0.0880311958873701,0.3,0.221089672024608,0.1856064563741213,0.0846138714459576
