target,variant,event_cycles,detected_event_cycles,event_cycle_recall,event_cycle_recall_ci95_low,event_cycle_recall_ci95_high,event_cycle_recall_min_block,normal_cycles,false_alarm_cycles,normal_cycle_false_alarm_rate,normal_cycle_false_alarm_rate_ci95_low,normal_cycle_false_alarm_rate_ci95_high,normal_cycle_false_alarm_rate_max_block,windows,feature_count,summary_feature_count,window_tn,window_fp,window_fn,window_tp,window_accuracy,window_macro_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_roc_auc,window_pr_auc
System_Failure,all_19,87,85,0.9770114942528736,0.9200068198603859,0.9936729148940739,0.95,115,5,0.043478260869565216,0.018712101106831386,0.09775784934688925,0.16666666666666666,4035,19,133,2871,190,299,675,0.8788104089219331,0.8278080208859402,0.7803468208092486,0.6930184804928131,0.734094616639478,0.9144509954001692,0.8137324214976762
System_Failure,current_family_only,87,85,0.9770114942528736,0.9200068198603859,0.9936729148940739,0.8571428571428571,115,10,0.08695652173913043,0.04791849741533478,0.1526971720427934,0.2222222222222222,4035,7,49,2878,183,280,694,0.8852540272614622,0.8377078347501501,0.7913340935005702,0.7125256673511293,0.7498649378714208,0.9120395557275842,0.8194224404481877
System_Failure,joint_current_only,87,86,0.9885057471264368,0.9377280216427621,0.9979680922624077,0.95,115,14,0.12173913043478261,0.0739197685165484,0.1940124761451058,0.3333333333333333,4035,6,42,2849,212,267,707,0.8812887236679058,0.8347083796107795,0.7693144722524483,0.7258726899383984,0.7469624933967248,0.9078589890568703,0.8144119845739275
System_Failure,tool_current_only,87,70,0.8045977011494253,0.7091678634827149,0.8742661840110969,0.5555555555555556,115,100,0.8695652173913043,0.7959024584651849,0.9193361530722793,0.9444444444444444,4035,1,7,2361,700,737,237,0.6438661710037175,0.5073602898388926,0.2529348986125934,0.2433264887063655,0.24803767660910517,0.531734103348277,0.2535407632990635
System_Failure,speed_only,87,85,0.9770114942528736,0.9200068198603859,0.9936729148940739,0.8888888888888888,115,27,0.23478260869565218,0.16666880256864122,0.3200423115044726,0.3888888888888889,4035,6,42,2738,323,309,665,0.843370508054523,0.7872044283428361,0.6730769230769231,0.6827515400410678,0.6778797145769623,0.8599808681384068,0.7413129557898913
System_Failure,temperature_only,87,22,0.25287356321839083,0.17333211159075584,0.3533157366689819,0.0,115,9,0.0782608695652174,0.041717707746864535,0.14206881791038214,0.8333333333333334,4035,6,42,2850,211,870,104,0.732094175960347,0.500974692098776,0.33015873015873015,0.10677618069815195,0.1613653995345229,0.5502654109761341,0.28003827471657633
System_Failure,drop_current_family,87,81,0.9310344827586207,0.8576030575941972,0.9680111605574232,0.7142857142857143,115,14,0.12173913043478261,0.0739197685165484,0.1940124761451058,0.2857142857142857,4035,12,84,2857,204,448,526,0.8384138785625774,0.7574758952710925,0.7205479452054795,0.5400410677618069,0.6173708920187794,0.8380530177962537,0.6754382979205256
System_Failure,drop_speed,87,84,0.9655172413793104,0.903459176131256,0.9882041794724941,0.7142857142857143,115,4,0.034782608695652174,0.013607842790201288,0.08603296386263783,0.16666666666666666,4035,13,91,2909,152,437,537,0.8540272614622056,0.7769450524883478,0.7793904208998549,0.5513347022587269,0.6458208057727,0.8904561728092778,0.7475814089251474
System_Failure,drop_temperature,87,86,0.9885057471264368,0.9377280216427621,0.9979680922624077,0.95,115,10,0.08695652173913043,0.04791849741533478,0.1526971720427934,0.2222222222222222,4035,13,91,2884,177,249,725,0.8944237918215613,0.8520724368379056,0.8037694013303769,0.74435318275154,0.7729211087420043,0.91964819377651,0.8478420307373694
System_Failure,drop_tool_current,87,87,1.0,0.9577124930558795,0.9999999999999999,1.0,115,5,0.043478260869565216,0.018712101106831386,0.09775784934688925,0.16666666666666666,4035,18,126,2879,182,297,677,0.8812887236679058,0.8309400082449727,0.7881257275902211,0.6950718685831622,0.7386797599563557,0.9132881243597837,0.8126289025054904
ProtectiveStop,all_19,62,59,0.9516129032258065,0.8671196207267605,0.9834083141494193,0.5,140,4,0.02857142857142857,0.011165776841333588,0.07115721207839866,0.14285714285714285,4035,19,133,3375,97,137,426,0.9420074349442379,0.8755126160505782,0.8145315487571702,0.7566607460035524,0.7845303867403315,0.9593776346268753,0.8556536325151582
ProtectiveStop,current_family_only,62,58,0.9354838709677419,0.8455248427224711,0.9746270944795592,0.6666666666666666,140,10,0.07142857142857142,0.03925838437386533,0.12648978737134578,0.14285714285714285,4035,7,49,3353,119,133,430,0.937546468401487,0.8685819955705456,0.7832422586520947,0.7637655417406749,0.7733812949640287,0.9634331694919417,0.8273741647609978
ProtectiveStop,joint_current_only,62,59,0.9516129032258065,0.8671196207267605,0.9834083141494193,0.8823529411764706,140,9,0.06428571428571428,0.03418636036894637,0.11765761423868493,0.14285714285714285,4035,6,42,3354,118,138,425,0.9365551425030979,0.8658873898624079,0.7826887661141805,0.7548845470692718,0.7685352622061483,0.9615183329104288,0.8236017208565597
ProtectiveStop,tool_current_only,62,42,0.6774193548387096,0.553680880928481,0.780455093487161,0.3333333333333333,140,86,0.6142857142857143,0.5316279871244604,0.6908391670768167,0.7142857142857143,4035,1,7,3002,470,403,160,0.7836431226765799,0.5706432303896719,0.25396825396825395,0.2841918294849023,0.26823134953897737,0.6412679256943137,0.2228080539588862
ProtectiveStop,speed_only,62,61,0.9838709677419355,0.9141327973931,0.9971471328313782,0.9411764705882353,140,17,0.12142857142857143,0.07721261463005077,0.18586493707821902,0.2727272727272727,4035,6,42,3222,250,140,423,0.9033457249070632,0.8136992081284042,0.6285289747399703,0.7513321492007105,0.6844660194174758,0.9296009793649884,0.7549874397695733
ProtectiveStop,temperature_only,62,10,0.16129032258064516,0.09004068870309086,0.2720633601397744,0.0,140,4,0.02857142857142857,0.011165776841333588,0.07115721207839866,0.2222222222222222,4035,6,42,3400,72,548,15,0.8463444857496902,0.4812979473356832,0.1724137931034483,0.02664298401420959,0.046153846153846156,0.6394257331936386,0.20230697507129025
ProtectiveStop,drop_current_family,62,60,0.967741935483871,0.8897953040501456,0.9911086285001833,0.5,140,11,0.07857142857142857,0.04443737597511909,0.13521499290767183,0.19047619047619047,4035,12,84,3305,167,169,394,0.916728624535316,0.8263472256235955,0.7023172905525846,0.6998223801065719,0.701067615658363,0.9160707635199842,0.7566010569309572
ProtectiveStop,drop_speed,62,57,0.9193548387096774,0.8247142865138739,0.9650616530140073,0.5,140,4,0.02857142857142857,0.011165776841333588,0.07115721207839866,0.25,4035,13,91,3381,91,170,393,0.9353159851301115,0.8567763635406709,0.8119834710743802,0.6980461811722913,0.7507163323782235,0.9561204172839708,0.8144751691191778
ProtectiveStop,drop_temperature,62,59,0.9516129032258065,0.8671196207267605,0.9834083141494193,0.5,140,12,0.08571428571428572,0.04971124458699671,0.14384532143337403,0.3181818181818182,4035,13,91,3356,116,113,450,0.9432465923172243,0.8820866345455796,0.7950530035335689,0.7992895204262878,0.7971656333038086,0.9672508205711667,0.8517467284544634
ProtectiveStop,drop_tool_current,62,60,0.967741935483871,0.8897953040501456,0.9911086285001833,0.9411764705882353,140,4,0.02857142857142857,0.011165776841333588,0.07115721207839866,0.14285714285714285,4035,18,126,3362,110,130,433,0.9405204460966543,0.8742694279960074,0.7974217311233885,0.7690941385435168,0.783001808318264,0.9587458357548027,0.850698501652636
GripLost,all_19,39,36,0.9230769230769231,0.7967892883204503,0.9734926046962203,0.6666666666666666,163,6,0.03680981595092025,0.016977515813507586,0.07797165888604399,0.15,4035,19,133,3567,32,226,210,0.9360594795539033,0.7922832145730376,0.8677685950413223,0.481651376146789,0.6194690265486725,0.9068679245763988,0.7266515659536292
GripLost,current_family_only,39,37,0.9487179487179487,0.8311435995238639,0.9858220445847259,0.8,163,20,0.12269938650306748,0.08085012466302419,0.18192304413197477,0.38095238095238093,4035,7,49,3500,99,191,245,0.9281288723667905,0.7942123034715627,0.7122093023255814,0.5619266055045872,0.6282051282051282,0.9045577772622874,0.7088149677984501
GripLost,joint_current_only,39,37,0.9487179487179487,0.8311435995238639,0.9858220445847259,0.6666666666666666,163,18,0.11042944785276074,0.07100212258869046,0.16779618990695888,0.38095238095238093,4035,6,42,3486,113,174,262,0.9288723667905824,0.8032893899812963,0.6986666666666667,0.6009174311926605,0.6461159062885327,0.9048891639114841,0.7126776762442348
GripLost,tool_current_only,39,22,0.5641025641025641,0.40975691648669477,0.7069524612431037,0.25,163,127,0.7791411042944786,0.7094416617391224,0.8359863190710817,0.9,4035,1,7,3083,516,392,44,0.7749690210656753,0.479998024328016,0.07857142857142857,0.10091743119266056,0.08835341365461848,0.47983862744748157,0.10016478832502175
GripLost,speed_only,39,36,0.9230769230769231,0.7967892883204503,0.9734926046962203,0.6666666666666666,163,49,0.3006134969325153,0.235477080039771,0.37493150509579753,0.5,4035,6,42,3385,214,223,213,0.8916976456009913,0.7164956948479824,0.49882903981264637,0.48853211009174313,0.4936268829663963,0.7806778004083703,0.5220230296719679
GripLost,temperature_only,39,1,0.02564102564102564,0.004540703100990098,0.13180990169850076,0.0,163,4,0.024539877300613498,0.009583521690912599,0.06139079670928933,0.2,4035,6,42,3577,22,432,4,0.8874845105328377,0.4788209949881874,0.15384615384615385,0.009174311926605505,0.017316017316017316,0.5311930429196693,0.12033784746265369
GripLost,drop_current_family,39,16,0.41025641025641024,0.27079310000725176,0.5658137711710304,0.0,163,6,0.03680981595092025,0.016977515813507586,0.07797165888604399,0.10526315789473684,4035,12,84,3584,15,369,67,0.9048327137546468,0.60391990053007,0.8170731707317073,0.1536697247706422,0.25868725868725867,0.7492706307307586,0.4000433713678059
GripLost,drop_speed,39,32,0.8205128205128205,0.6733195433811838,0.9102273452678089,0.2,163,4,0.024539877300613498,0.009583521690912599,0.06139079670928933,0.2,4035,13,91,3567,32,281,155,0.9224287484510533,0.7277809737770238,0.8288770053475936,0.3555045871559633,0.49759229534510435,0.8946346589649009,0.6541208846010825
GripLost,drop_temperature,39,37,0.9487179487179487,0.8311435995238639,0.9858220445847259,0.6666666666666666,163,12,0.0736196319018405,0.042612231094974064,0.1242615125026264,0.25,4035,13,91,3534,65,175,261,0.9405204460966543,0.8260993237914227,0.8006134969325154,0.5986238532110092,0.6850393700787402,0.9061876260225191,0.7551374714342135
GripLost,drop_tool_current,39,36,0.9230769230769231,0.7967892883204503,0.9734926046962203,0.6666666666666666,163,7,0.04294478527607362,0.02095572063528206,0.08598088221394433,0.15,4035,18,126,3566,33,223,213,0.9365551425030979,0.7949913230140975,0.8658536585365854,0.48853211009174313,0.624633431085044,0.9057756231980851,0.73897992195588
