feature_set,model,cycle_runs,scenario_blocks,cv_splits,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,permutation_pvalue
process_sensors,dummy_most_frequent,168,9,4,0.1111111111111111,0.0,0.0267434988179669,0.0017914237075919235,
process_sensors,logistic_regression,168,9,4,0.20601851851851852,0.03582208647310614,0.1994212577545911,0.03865050248254843,0.009900990099009901
process_sensors,random_forest,168,9,4,0.18657407407407406,0.02587213334749605,0.17120127512284375,0.033166130370793856,
temperature_only,dummy_most_frequent,168,9,4,0.1111111111111111,0.0,0.0267434988179669,0.0017914237075919235,
temperature_only,logistic_regression,168,9,4,0.5939814814814816,0.044277754542491304,0.5909030784030784,0.04919654921540411,0.009900990099009901
temperature_only,random_forest,168,9,4,0.962037037037037,0.03274951700708783,0.9608462525129192,0.03521894329566139,
