source,candidate,target,event_cycles,detected_event_cycles,event_cycle_recall,target_negative_cycles,target_negative_alert_cycles,target_negative_alert_rate,true_normal_cycles,true_normal_false_alarm_cycles,true_normal_false_alarm_rate,true_normal_false_alarm_rate_ci95_low,true_normal_false_alarm_rate_ci95_high,other_fault_only_cycles,cross_fault_alert_cycles,cross_fault_alert_rate,cross_fault_alert_rate_ci95_low,cross_fault_alert_rate_ci95_high
12_matched_models,1d_cnn_19_raw,System_Failure,87,85,0.9770114942528736,115,22,0.19130434782608696,115,22,0.19130434782608696,0.12986594771740817,0.27269944735129814,0,0,,,
12_matched_models,1d_cnn_19_raw,ProtectiveStop,62,58,0.9354838709677419,140,27,0.19285714285714287,115,24,0.20869565217391303,0.1444453928121506,0.29177828985831866,25,3,0.12,0.04166817150440358,0.2995579392092732
12_matched_models,1d_cnn_19_raw,GripLost,39,36,0.9230769230769231,163,40,0.24539877300613497,115,19,0.16521739130434782,0.10839813340199721,0.24367983026406453,48,21,0.4375,0.30701269040654244,0.5772498258017222
12_matched_models,lstm_autoencoder_19_raw_q90,System_Failure,87,7,0.08045977011494253,115,24,0.20869565217391303,115,24,0.20869565217391303,0.1444453928121506,0.29177828985831866,0,0,,,
12_matched_models,lstm_autoencoder_19_raw_q90,ProtectiveStop,62,7,0.11290322580645161,140,24,0.17142857142857143,115,24,0.20869565217391303,0.1444453928121506,0.29177828985831866,25,0,0.0,1.3877787807814457e-17,0.13319225093904846
12_matched_models,lstm_autoencoder_19_raw_q90,GripLost,39,0,0.0,163,32,0.19631901840490798,115,24,0.20869565217391303,0.1444453928121506,0.29177828985831866,48,8,0.16666666666666666,0.08695513576485567,0.295778284012556
12_matched_models,lstm_autoencoder_19_raw_q95,System_Failure,87,4,0.04597701149425287,115,15,0.13043478260869565,115,15,0.13043478260869565,0.08066384692772066,0.20409754153481507,0,0,,,
12_matched_models,lstm_autoencoder_19_raw_q95,ProtectiveStop,62,4,0.06451612903225806,140,15,0.10714285714285714,115,15,0.13043478260869565,0.08066384692772066,0.20409754153481507,25,0,0.0,1.3877787807814457e-17,0.13319225093904846
12_matched_models,lstm_autoencoder_19_raw_q95,GripLost,39,0,0.0,163,20,0.12269938650306748,115,15,0.13043478260869565,0.08066384692772066,0.20409754153481507,48,5,0.10416666666666667,0.045321719041813105,0.2216742169438633
12_matched_models,lstm_autoencoder_19_raw_q97.5,System_Failure,87,4,0.04597701149425287,115,15,0.13043478260869565,115,15,0.13043478260869565,0.08066384692772066,0.20409754153481507,0,0,,,
12_matched_models,lstm_autoencoder_19_raw_q97.5,ProtectiveStop,62,4,0.06451612903225806,140,15,0.10714285714285714,115,15,0.13043478260869565,0.08066384692772066,0.20409754153481507,25,0,0.0,1.3877787807814457e-17,0.13319225093904846
12_matched_models,lstm_autoencoder_19_raw_q97.5,GripLost,39,0,0.0,163,20,0.12269938650306748,115,15,0.13043478260869565,0.08066384692772066,0.20409754153481507,48,5,0.10416666666666667,0.045321719041813105,0.2216742169438633
12_matched_models,rf_19_raw_window,System_Failure,87,85,0.9770114942528736,115,5,0.043478260869565216,115,5,0.043478260869565216,0.018712101106831386,0.09775784934688925,0,0,,,
12_matched_models,rf_19_raw_window,ProtectiveStop,62,59,0.9516129032258065,140,4,0.02857142857142857,115,4,0.034782608695652174,0.013607842790201288,0.08603296386263783,25,0,0.0,1.3877787807814457e-17,0.13319225093904846
12_matched_models,rf_19_raw_window,GripLost,39,36,0.9230769230769231,163,6,0.03680981595092025,115,2,0.017391304347826087,0.004782352362605557,0.06120016668847053,48,4,0.08333333333333333,0.032883756818091775,0.1955330179036728
14_sensor_ablation,all_19,System_Failure,87,85,0.9770114942528736,115,5,0.043478260869565216,115,5,0.043478260869565216,0.018712101106831386,0.09775784934688925,0,0,,,
14_sensor_ablation,all_19,ProtectiveStop,62,59,0.9516129032258065,140,4,0.02857142857142857,115,4,0.034782608695652174,0.013607842790201288,0.08603296386263783,25,0,0.0,1.3877787807814457e-17,0.13319225093904846
14_sensor_ablation,all_19,GripLost,39,36,0.9230769230769231,163,6,0.03680981595092025,115,2,0.017391304347826087,0.004782352362605557,0.06120016668847053,48,4,0.08333333333333333,0.032883756818091775,0.1955330179036728
14_sensor_ablation,current_family_only,System_Failure,87,85,0.9770114942528736,115,10,0.08695652173913043,115,10,0.08695652173913043,0.04791849741533478,0.1526971720427934,0,0,,,
14_sensor_ablation,current_family_only,ProtectiveStop,62,58,0.9354838709677419,140,10,0.07142857142857142,115,8,0.06956521739130435,0.0356686537914928,0.13128872806487235,25,2,0.08,0.022220401284847563,0.24966108950395313
14_sensor_ablation,current_family_only,GripLost,39,37,0.9487179487179487,163,20,0.12269938650306748,115,8,0.06956521739130435,0.0356686537914928,0.13128872806487235,48,12,0.25,0.1492063367379791,0.3878437280950796
14_sensor_ablation,drop_current_family,System_Failure,87,81,0.9310344827586207,115,14,0.12173913043478261,115,14,0.12173913043478261,0.0739197685165484,0.1940124761451058,0,0,,,
14_sensor_ablation,drop_current_family,ProtectiveStop,62,60,0.967741935483871,140,11,0.07857142857142857,115,7,0.06086956521739131,0.029795116013329806,0.12033312204215384,25,4,0.16,0.0640345145667644,0.3465362160717886
14_sensor_ablation,drop_current_family,GripLost,39,16,0.41025641025641024,163,6,0.03680981595092025,115,4,0.034782608695652174,0.013607842790201288,0.08603296386263783,48,2,0.041666666666666664,0.011501893489386586,0.13975655870455445
14_sensor_ablation,drop_speed,System_Failure,87,84,0.9655172413793104,115,4,0.034782608695652174,115,4,0.034782608695652174,0.013607842790201288,0.08603296386263783,0,0,,,
14_sensor_ablation,drop_speed,ProtectiveStop,62,57,0.9193548387096774,140,4,0.02857142857142857,115,4,0.034782608695652174,0.013607842790201288,0.08603296386263783,25,0,0.0,1.3877787807814457e-17,0.13319225093904846
14_sensor_ablation,drop_speed,GripLost,39,32,0.8205128205128205,163,4,0.024539877300613498,115,3,0.02608695652173913,0.008911044734433389,0.07390061811752421,48,1,0.020833333333333332,0.003687110977510649,0.10899217995251861
14_sensor_ablation,drop_temperature,System_Failure,87,86,0.9885057471264368,115,10,0.08695652173913043,115,10,0.08695652173913043,0.04791849741533478,0.1526971720427934,0,0,,,
14_sensor_ablation,drop_temperature,ProtectiveStop,62,59,0.9516129032258065,140,12,0.08571428571428572,115,8,0.06956521739130435,0.0356686537914928,0.13128872806487235,25,4,0.16,0.0640345145667644,0.3465362160717886
14_sensor_ablation,drop_temperature,GripLost,39,37,0.9487179487179487,163,12,0.0736196319018405,115,4,0.034782608695652174,0.013607842790201288,0.08603296386263783,48,8,0.16666666666666666,0.08695513576485567,0.295778284012556
14_sensor_ablation,drop_tool_current,System_Failure,87,87,1.0,115,5,0.043478260869565216,115,5,0.043478260869565216,0.018712101106831386,0.09775784934688925,0,0,,,
14_sensor_ablation,drop_tool_current,ProtectiveStop,62,60,0.967741935483871,140,4,0.02857142857142857,115,4,0.034782608695652174,0.013607842790201288,0.08603296386263783,25,0,0.0,1.3877787807814457e-17,0.13319225093904846
14_sensor_ablation,drop_tool_current,GripLost,39,36,0.9230769230769231,163,7,0.04294478527607362,115,2,0.017391304347826087,0.004782352362605557,0.06120016668847053,48,5,0.10416666666666667,0.045321719041813105,0.2216742169438633
14_sensor_ablation,joint_current_only,System_Failure,87,86,0.9885057471264368,115,14,0.12173913043478261,115,14,0.12173913043478261,0.0739197685165484,0.1940124761451058,0,0,,,
14_sensor_ablation,joint_current_only,ProtectiveStop,62,59,0.9516129032258065,140,9,0.06428571428571428,115,7,0.06086956521739131,0.029795116013329806,0.12033312204215384,25,2,0.08,0.022220401284847563,0.24966108950395313
14_sensor_ablation,joint_current_only,GripLost,39,37,0.9487179487179487,163,18,0.11042944785276074,115,6,0.05217391304347826,0.024128549061825502,0.10917054519277662,48,12,0.25,0.1492063367379791,0.3878437280950796
