training_scope,model,seed,test_block,validation_block,calibration_blocks,core_train_blocks,final_train_blocks,core_train_windows,validation_windows,final_train_windows,calibration_windows,calibration_normal_cycles,test_windows,train_positive_count,best_epoch,best_validation_loss,threshold_q90,threshold_q95,threshold_q975,model_parameters,device,torch_version,cuda_version,elapsed_seconds
ProtectiveStop,1d_cnn_19_raw,43,3,4,,7,8,3270,339,3609,0,0,426,526,9,0.5814856563345873,,,,8129,cuda,2.7.1+cu128,12.8,1.8266325000004144
ProtectiveStop,1d_cnn_19_raw,44,3,4,,7,8,3270,339,3609,0,0,426,526,5,0.595964621653599,,,,8129,cuda,2.7.1+cu128,12.8,1.6230643000017153
ProtectiveStop,1d_cnn_19_raw,42,4,5,,7,8,3226,470,3696,0,0,339,520,26,0.3284445327013097,,,,8129,cuda,2.7.1+cu128,12.8,4.9264574000008
ProtectiveStop,1d_cnn_19_raw,43,4,5,,7,8,3226,470,3696,0,0,339,520,38,0.31102172875023903,,,,8129,cuda,2.7.1+cu128,12.8,6.882281199999852
ProtectiveStop,1d_cnn_19_raw,44,4,5,,7,8,3226,470,3696,0,0,339,520,22,0.33613627711509136,,,,8129,cuda,2.7.1+cu128,12.8,4.034203699997306
ProtectiveStop,1d_cnn_19_raw,42,5,7,,7,8,3090,475,3565,0,0,470,494,8,0.6980927648042378,,,,8129,cuda,2.7.1+cu128,12.8,1.7238237999990815
ProtectiveStop,1d_cnn_19_raw,43,5,7,,7,8,3090,475,3565,0,0,470,494,5,0.6970604678204185,,,,8129,cuda,2.7.1+cu128,12.8,1.337845699999889
ProtectiveStop,1d_cnn_19_raw,44,5,7,,7,8,3090,475,3565,0,0,470,494,6,0.7117000655124062,,,,8129,cuda,2.7.1+cu128,12.8,1.3842664000003424
ProtectiveStop,1d_cnn_19_raw,42,7,8,,7,8,3371,189,3560,0,0,475,494,30,0.07981283217668533,,,,8129,cuda,2.7.1+cu128,12.8,5.384457899999688
ProtectiveStop,1d_cnn_19_raw,43,7,8,,7,8,3371,189,3560,0,0,475,494,22,0.0717114508152008,,,,8129,cuda,2.7.1+cu128,12.8,4.085178000001179
ProtectiveStop,1d_cnn_19_raw,44,7,8,,7,8,3371,189,3560,0,0,475,494,24,0.07681633532047272,,,,8129,cuda,2.7.1+cu128,12.8,4.560612699999183
ProtectiveStop,1d_cnn_19_raw,42,8,9,,7,8,3285,561,3846,0,0,189,546,4,0.929103525352138,,,,8129,cuda,2.7.1+cu128,12.8,1.0981162000025506
ProtectiveStop,1d_cnn_19_raw,43,8,9,,7,8,3285,561,3846,0,0,189,546,4,0.9513084167040181,,,,8129,cuda,2.7.1+cu128,12.8,1.0860099000019545
ProtectiveStop,1d_cnn_19_raw,44,8,9,,7,8,3285,561,3846,0,0,189,546,5,1.0893663411790675,,,,8129,cuda,2.7.1+cu128,12.8,1.2898513000000094
ProtectiveStop,1d_cnn_19_raw,42,9,10,,7,8,2749,725,3474,0,0,561,441,16,0.7244383672188068,,,,8129,cuda,2.7.1+cu128,12.8,2.7396647999994457
ProtectiveStop,1d_cnn_19_raw,43,9,10,,7,8,2749,725,3474,0,0,561,441,10,0.7246492346401873,,,,8129,cuda,2.7.1+cu128,12.8,2.4992864999985613
ProtectiveStop,1d_cnn_19_raw,44,9,10,,7,8,2749,725,3474,0,0,561,441,22,0.7003990489038928,,,,8129,cuda,2.7.1+cu128,12.8,3.8996321999984502
ProtectiveStop,1d_cnn_19_raw,42,10,1,,7,8,2881,429,3310,0,0,725,419,7,0.5210631014583827,,,,8129,cuda,2.7.1+cu128,12.8,1.353427300000476
ProtectiveStop,1d_cnn_19_raw,43,10,1,,7,8,2881,429,3310,0,0,725,419,7,0.5220284088577701,,,,8129,cuda,2.7.1+cu128,12.8,1.370313299998088
ProtectiveStop,1d_cnn_19_raw,44,10,1,,7,8,2881,429,3310,0,0,725,419,6,0.4862320868076978,,,,8129,cuda,2.7.1+cu128,12.8,1.3124684000031266
GripLost,1d_cnn_19_raw,42,1,2,,7,8,3185,421,3606,0,0,429,346,21,0.3460842663347013,,,,8129,cuda,2.7.1+cu128,12.8,3.928527399999439
GripLost,1d_cnn_19_raw,43,1,2,,7,8,3185,421,3606,0,0,429,346,16,0.4931130211738396,,,,8129,cuda,2.7.1+cu128,12.8,3.255075000000943
GripLost,1d_cnn_19_raw,44,1,2,,7,8,3185,421,3606,0,0,429,346,12,0.4939405765216311,,,,8129,cuda,2.7.1+cu128,12.8,2.455854799998633
GripLost,1d_cnn_19_raw,42,2,3,,7,8,3188,426,3614,0,0,421,394,20,0.5101629739076319,,,,8129,cuda,2.7.1+cu128,12.8,3.9663699000011547
GripLost,1d_cnn_19_raw,43,2,3,,7,8,3188,426,3614,0,0,421,394,17,0.5128259194289015,,,,8129,cuda,2.7.1+cu128,12.8,3.916775300000154
GripLost,1d_cnn_19_raw,44,2,3,,7,8,3188,426,3614,0,0,421,394,14,0.5218141876475911,,,,8129,cuda,2.7.1+cu128,12.8,3.023690499998338
GripLost,1d_cnn_19_raw,42,3,4,,7,8,3270,339,3609,0,0,426,386,18,0.5629161693194227,,,,8129,cuda,2.7.1+cu128,12.8,3.45024050000211
GripLost,1d_cnn_19_raw,43,3,4,,7,8,3270,339,3609,0,0,426,386,16,0.560414072104172,,,,8129,cuda,2.7.1+cu128,12.8,3.089040200000454
GripLost,1d_cnn_19_raw,44,3,4,,7,8,3270,339,3609,0,0,426,386,13,0.4560187171298494,,,,8129,cuda,2.7.1+cu128,12.8,2.653679299997748
GripLost,1d_cnn_19_raw,42,4,5,,7,8,3226,470,3696,0,0,339,393,23,0.18931404326824433,,,,8129,cuda,2.7.1+cu128,12.8,4.68263570000272
GripLost,1d_cnn_19_raw,43,4,5,,7,8,3226,470,3696,0,0,339,393,30,0.10358826546592916,,,,8129,cuda,2.7.1+cu128,12.8,5.755603199999314
GripLost,1d_cnn_19_raw,44,4,5,,7,8,3226,470,3696,0,0,339,393,40,0.09287502949542188,,,,8129,cuda,2.7.1+cu128,12.8,7.0734231999995245
GripLost,1d_cnn_19_raw,42,5,7,,7,8,3090,475,3565,0,0,470,424,33,0.4297027522011807,,,,8129,cuda,2.7.1+cu128,12.8,5.946149800001876
GripLost,1d_cnn_19_raw,43,5,7,,7,8,3090,475,3565,0,0,470,424,13,0.5008488449297454,,,,8129,cuda,2.7.1+cu128,12.8,3.071632999999565
GripLost,1d_cnn_19_raw,44,5,7,,7,8,3090,475,3565,0,0,470,424,17,0.4810141125478243,,,,8129,cuda,2.7.1+cu128,12.8,3.5666615000009187
GripLost,1d_cnn_19_raw,42,7,8,,7,8,3371,189,3560,0,0,475,405,28,0.17418524622917175,,,,8129,cuda,2.7.1+cu128,12.8,6.159441899999365
GripLost,1d_cnn_19_raw,43,7,8,,7,8,3371,189,3560,0,0,475,405,30,0.21026936173439026,,,,8129,cuda,2.7.1+cu128,12.8,6.744594200001302
GripLost,1d_cnn_19_raw,44,7,8,,7,8,3371,189,3560,0,0,475,405,31,0.23177243769168854,,,,8129,cuda,2.7.1+cu128,12.8,7.189795300000696
GripLost,1d_cnn_19_raw,42,8,9,,7,8,3285,561,3846,0,0,189,417,3,1.530302479358493,,,,8129,cuda,2.7.1+cu128,12.8,1.3014110000003711
GripLost,1d_cnn_19_raw,43,8,9,,7,8,3285,561,3846,0,0,189,417,4,1.4865104574676928,,,,8129,cuda,2.7.1+cu128,12.8,1.8451195000016014
GripLost,1d_cnn_19_raw,44,8,9,,7,8,3285,561,3846,0,0,189,417,1,1.5479081961560377,,,,8129,cuda,2.7.1+cu128,12.8,0.9347488000021258
GripLost,1d_cnn_19_raw,42,9,10,,7,8,2749,725,3474,0,0,561,356,12,0.8636960951213178,,,,8129,cuda,2.7.1+cu128,12.8,3.3308711999998195
GripLost,1d_cnn_19_raw,43,9,10,,7,8,2749,725,3474,0,0,561,356,8,0.8899758230406662,,,,8129,cuda,2.7.1+cu128,12.8,2.3613452999998117
GripLost,1d_cnn_19_raw,44,9,10,,7,8,2749,725,3474,0,0,561,356,9,0.915611653081302,,,,8129,cuda,2.7.1+cu128,12.8,2.829397400000744
GripLost,1d_cnn_19_raw,42,10,1,,7,8,2881,429,3310,0,0,725,367,9,0.7299434934462701,,,,8129,cuda,2.7.1+cu128,12.8,2.5986713000020245
GripLost,1d_cnn_19_raw,43,10,1,,7,8,2881,429,3310,0,0,725,367,14,0.6062781514126659,,,,8129,cuda,2.7.1+cu128,12.8,3.721150499997748
GripLost,1d_cnn_19_raw,44,10,1,,7,8,2881,429,3310,0,0,725,367,7,0.9596993675876608,,,,8129,cuda,2.7.1+cu128,12.8,2.027743400001782
System_Failure_normal_cycles,lstm_autoencoder_19_raw,42,1,2,3;4,5,6,785,271,1056,409,26,429,0,40,16.808615300928096,1.4415879249572754,1.5289634466171265,1.5751943588256836,15859,cuda,2.7.1+cu128,12.8,4.3061678999984
System_Failure_normal_cycles,lstm_autoencoder_19_raw,43,1,2,3;4,5,6,785,271,1056,409,26,429,0,40,16.537952528668505,1.4071835279464722,1.505733847618103,1.537191390991211,15859,cuda,2.7.1+cu128,12.8,2.888364800001
System_Failure_normal_cycles,lstm_autoencoder_19_raw,44,1,2,3;4,5,6,785,271,1056,409,26,429,0,40,16.149987379123363,1.457610011100769,1.5266810655593872,1.586925745010376,15859,cuda,2.7.1+cu128,12.8,3.2032321999977285
System_Failure_normal_cycles,lstm_autoencoder_19_raw,42,2,3,4;5,5,6,784,284,1068,388,27,421,0,9,0.7517017000158068,1.275648593902588,1.4609822034835815,1.6655707359313965,15859,cuda,2.7.1+cu128,12.8,1.0669858000001113
System_Failure_normal_cycles,lstm_autoencoder_19_raw,43,2,3,4;5,5,6,784,284,1068,388,27,421,0,8,0.7587899171130758,1.3056036233901978,1.497497797012329,1.7022093534469604,15859,cuda,2.7.1+cu128,12.8,0.8174475999985589
System_Failure_normal_cycles,lstm_autoencoder_19_raw,44,2,3,4;5,5,6,784,284,1068,388,27,421,0,8,0.7535034988967466,1.2945246696472168,1.4853285551071167,1.690044641494751,15859,cuda,2.7.1+cu128,12.8,0.7914320000018051
System_Failure_normal_cycles,lstm_autoencoder_19_raw,42,3,4,5;7,5,6,827,125,952,491,34,426,0,9,0.7082570791244507,1.4493999481201172,1.7055833339691162,1.9174599647521973,15859,cuda,2.7.1+cu128,12.8,0.7041681999980938
System_Failure_normal_cycles,lstm_autoencoder_19_raw,43,3,4,5;7,5,6,827,125,952,491,34,426,0,9,0.7161511778831482,1.411056399345398,1.6504770517349243,1.8644609451293945,15859,cuda,2.7.1+cu128,12.8,0.8628564999999071
System_Failure_normal_cycles,lstm_autoencoder_19_raw,44,3,4,5;7,5,6,827,125,952,491,34,426,0,8,0.7093511819839478,1.4510973691940308,1.6905542612075806,1.9023596048355103,15859,cuda,2.7.1+cu128,12.8,0.7866690999981074
System_Failure_normal_cycles,lstm_autoencoder_19_raw,42,4,5,7;8,5,6,1014,263,1277,325,22,339,0,40,0.7357006829954372,1.1068099737167358,1.1410715579986572,1.1502097845077515,15859,cuda,2.7.1+cu128,12.8,3.371751899998344
System_Failure_normal_cycles,lstm_autoencoder_19_raw,43,4,5,7;8,5,6,1014,263,1277,325,22,339,0,40,0.7374099955359339,1.1065019369125366,1.1335760354995728,1.1448893547058105,15859,cuda,2.7.1+cu128,12.8,3.2312664999990375
System_Failure_normal_cycles,lstm_autoencoder_19_raw,44,4,5,7;8,5,6,1014,263,1277,325,22,339,0,40,0.7402039056948383,1.1252559423446655,1.132519006729126,1.1464580297470093,15859,cuda,2.7.1+cu128,12.8,2.9574947000000975
System_Failure_normal_cycles,lstm_autoencoder_19_raw,42,5,7,8;9,5,6,1048,228,1276,188,13,470,0,40,0.7002394199371338,0.9848400354385376,1.0204901695251465,1.0204901695251465,15859,cuda,2.7.1+cu128,12.8,3.4852154000000155
System_Failure_normal_cycles,lstm_autoencoder_19_raw,43,5,7,8;9,5,6,1048,228,1276,188,13,470,0,40,0.6999539732933044,0.9684012532234192,1.039678692817688,1.039678692817688,15859,cuda,2.7.1+cu128,12.8,4.307458999999653
