target,model,event_cycles,detected_event_cycles,event_cycle_recall,event_cycle_recall_ci95_low,event_cycle_recall_ci95_high,event_cycle_recall_min_block,normal_cycles,false_alarm_cycles,normal_cycle_false_alarm_rate,normal_cycle_false_alarm_rate_ci95_low,normal_cycle_false_alarm_rate_ci95_high,normal_cycle_false_alarm_rate_max_block,windows,window_tn,window_fp,window_fn,window_tp,window_accuracy,window_macro_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_roc_auc,window_pr_auc
System_Failure,random_forest,87,85,0.9770114942528736,0.9200068198603859,0.9936729148940739,0.95,115,5,0.043478260869565216,0.018712101106831386,0.09775784934688925,0.16666666666666666,4035,2871,190,299,675,0.8788104089219331,0.8278080208859402,0.7803468208092486,0.6930184804928131,0.734094616639478,0.9144509954001692,0.8137324214976762
System_Failure,logistic_regression,87,86,0.9885057471264368,0.9377280216427621,0.9979680922624077,0.95,115,61,0.5304347826086957,0.4397175935599384,0.6191844097431469,0.8571428571428571,4035,2392,669,319,655,0.7551425030978934,0.6994448756850846,0.4947129909365559,0.6724845995893224,0.5700609225413403,0.7960313462001587,0.5989167991405078
System_Failure,rbf_svm,87,83,0.9540229885057471,0.8876696649201269,0.981977311532913,0.42857142857142855,115,11,0.09565217391304348,0.054252518982852306,0.16319229427615742,0.3333333333333333,4035,2849,212,358,616,0.8587360594795539,0.7963733481978119,0.7439613526570048,0.6324435318275154,0.683684794672586,0.8875815301061846,0.7747928285841759
ProtectiveStop,random_forest,62,59,0.9516129032258065,0.8671196207267605,0.9834083141494193,0.5,140,4,0.02857142857142857,0.011165776841333588,0.07115721207839866,0.14285714285714285,4035,3375,97,137,426,0.9420074349442379,0.8755126160505782,0.8145315487571702,0.7566607460035524,0.7845303867403315,0.9593776346268753,0.8556536325151582
ProtectiveStop,logistic_regression,62,60,0.967741935483871,0.8897953040501456,0.9911086285001833,0.875,140,38,0.2714285714285714,0.2046044593860109,0.350461232211435,0.4,4035,3112,360,117,446,0.8817843866171003,0.790193541973228,0.5533498759305211,0.7921847246891652,0.6515704894083273,0.8997491221320937,0.668420373854929
ProtectiveStop,rbf_svm,62,56,0.9032258064516129,0.8045118138769257,0.9548881279768061,0.5,140,3,0.02142857142857143,0.007314003256778594,0.06110478852537385,0.14285714285714285,4035,3375,97,198,365,0.9268897149938042,0.8351607263411172,0.79004329004329,0.6483126110124334,0.7121951219512195,0.9462771443304876,0.7930404410372833
GripLost,random_forest,39,36,0.9230769230769231,0.7967892883204503,0.9734926046962203,0.6666666666666666,163,6,0.03680981595092025,0.016977515813507586,0.07797165888604399,0.15,4035,3567,32,226,210,0.9360594795539033,0.7922832145730376,0.8677685950413223,0.481651376146789,0.6194690265486725,0.9068679245763988,0.7266515659536292
GripLost,logistic_regression,39,39,1.0,0.9103331462924287,1.0,1.0,163,80,0.49079754601226994,0.4151526790080117,0.5668661787674761,0.8571428571428571,4035,3099,500,117,319,0.8470879801734821,0.708915475296174,0.3894993894993895,0.731651376146789,0.5083665338645418,0.8631882964432015,0.5283330187018684
GripLost,rbf_svm,39,37,0.9487179487179487,0.8311435995238639,0.9858220445847259,0.6666666666666666,163,29,0.17791411042944785,0.1268271044971847,0.24383291764488757,0.5,4035,3489,110,191,245,0.9254027261462205,0.7890585962527674,0.6901408450704225,0.5619266055045872,0.6194690265486725,0.8996577158283009,0.6860260885358751
