target,model_variant,seed_count,cycles,normal_cycles,event_cycles,tn,fp,fn,tp,accuracy,macro_f1,event_precision,event_recall,event_f1,normal_cycle_false_alarm_rate
System_Failure,rf_19_raw_window,1,202,115,87,110,5,2,85,0.9653465346534653,0.9648074864979218,0.9444444444444444,0.9770114942528736,0.96045197740113,0.043478260869565216
System_Failure,1d_cnn_19_raw,3,202,115,87,93,22,2,85,0.8811881188118812,0.88100147275405,0.794392523364486,0.9770114942528736,0.8762886597938144,0.19130434782608696
System_Failure,lstm_autoencoder_19_raw_q95,3,202,115,87,100,15,83,4,0.5148514851485149,0.3733063188552615,0.21052631578947367,0.04597701149425287,0.07547169811320754,0.13043478260869565
ProtectiveStop,rf_19_raw_window,1,202,140,62,136,4,3,59,0.9653465346534653,0.9594551971326164,0.9365079365079365,0.9516129032258065,0.944,0.02857142857142857
ProtectiveStop,1d_cnn_19_raw,3,202,140,62,113,27,4,58,0.8465346534653465,0.8342465390825591,0.6823529411764706,0.9354838709677419,0.7891156462585034,0.19285714285714287
ProtectiveStop,lstm_autoencoder_19_raw_q95,3,202,140,62,125,15,58,4,0.6386138613861386,0.43637962007415054,0.21052631578947367,0.06451612903225806,0.09876543209876543,0.10714285714285714
GripLost,rf_19_raw_window,1,202,163,39,157,6,3,36,0.9554455445544554,0.9305125558995528,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.03680981595092025
GripLost,1d_cnn_19_raw,3,202,163,39,123,40,3,36,0.7871287128712872,0.7386490145930495,0.47368421052631576,0.9230769230769231,0.6260869565217392,0.24539877300613497
GripLost,lstm_autoencoder_19_raw_q95,3,202,163,39,143,20,39,0,0.7079207920792079,0.4144927536231884,0.0,0.0,0.0,0.12269938650306748
