target,model,windows,window_tn,window_fp,window_fn,window_tp,window_accuracy,window_macro_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_roc_auc,window_pr_auc
System_Failure,random_forest,4035,2871,190,299,675,0.8788104089219331,0.8278080208859402,0.7803468208092486,0.6930184804928131,0.734094616639478,0.9144509954001692,0.8137324214976762
System_Failure,logistic_regression,4035,2392,669,319,655,0.7551425030978934,0.6994448756850846,0.4947129909365559,0.6724845995893224,0.5700609225413403,0.7960313462001587,0.5989167991405078
System_Failure,rbf_svm,4035,2849,212,358,616,0.8587360594795539,0.7963733481978119,0.7439613526570048,0.6324435318275154,0.683684794672586,0.8875815301061846,0.7747928285841759
ProtectiveStop,random_forest,4035,3375,97,137,426,0.9420074349442379,0.8755126160505782,0.8145315487571702,0.7566607460035524,0.7845303867403315,0.9593776346268753,0.8556536325151582
ProtectiveStop,logistic_regression,4035,3112,360,117,446,0.8817843866171003,0.790193541973228,0.5533498759305211,0.7921847246891652,0.6515704894083273,0.8997491221320937,0.668420373854929
ProtectiveStop,rbf_svm,4035,3375,97,198,365,0.9268897149938042,0.8351607263411172,0.79004329004329,0.6483126110124334,0.7121951219512195,0.9462771443304876,0.7930404410372833
GripLost,random_forest,4035,3567,32,226,210,0.9360594795539033,0.7922832145730376,0.8677685950413223,0.481651376146789,0.6194690265486725,0.9068679245763988,0.7266515659536292
GripLost,logistic_regression,4035,3099,500,117,319,0.8470879801734821,0.708915475296174,0.3894993894993895,0.731651376146789,0.5083665338645418,0.8631882964432015,0.5283330187018684
GripLost,rbf_svm,4035,3489,110,191,245,0.9254027261462205,0.7890585962527674,0.6901408450704225,0.5619266055045872,0.6194690265486725,0.8996577158283009,0.6860260885358751
