target,window_size,prediction_horizon,model,split_seed,train_windows,train_positive_count,train_positive_rate,train_cycle_runs,test_cycle_runs,test_windows,positive_count,positive_rate,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,tn,fp,fn,tp,roc_auc,pr_auc
System_Failure,5,10,rf_smote,42,2175,176,0.08091954022988505,132,34,570,25,0.043859649122807015,0.9543859649122807,0.5820171480144405,0.941927528659193,0.42857142857142855,0.12,0.1875,541,4,22,3,0.8940183486238532,0.32865697663640087
System_Failure,5,10,rf_smote,43,2155,176,0.08167053364269142,132,34,590,25,0.0423728813559322,0.911864406779661,0.6051480051480052,0.9236611914578017,0.2,0.36,0.2571428571428571,529,36,16,9,0.8585486725663717,0.16252625571411453
System_Failure,5,10,rf_smote,44,2125,149,0.07011764705882353,132,34,620,52,0.08387096774193549,0.8887096774193548,0.4978342782688312,0.8665576895333105,0.09523809523809523,0.038461538461538464,0.0547945205479452,549,19,50,2,0.7486965059588299,0.15418189128875726
System_Failure,5,10,rf_smote,45,2217,117,0.05277401894451962,132,34,528,84,0.1590909090909091,0.8465909090909091,0.49268709298601476,0.7815881673573571,1.0,0.03571428571428571,0.06896551724137931,444,0,81,3,0.5518420205920206,0.2385725136816036
System_Failure,5,10,rf_smote,46,2169,145,0.06685108344859382,132,34,576,56,0.09722222222222222,0.890625,0.5008184882041405,0.8561627347135291,0.18181818181818182,0.03571428571428571,0.05970149253731343,511,9,54,2,0.8335336538461537,0.25696310161733893
System_Failure,5,10,rf_smote,47,2215,177,0.0799097065462754,132,34,530,24,0.045283018867924525,0.9320754716981132,0.5323529411764706,0.9255493895671475,0.125,0.08333333333333333,0.1,492,14,22,2,0.7309370882740448,0.09618612094066605
System_Failure,5,10,rf_smote,48,2184,156,0.07142857142857142,132,34,561,45,0.08021390374331551,0.9144385026737968,0.5160316319194824,0.8846949641891918,0.2857142857142857,0.044444444444444446,0.07692307692307693,511,5,43,2,0.8456287683031869,0.2832369289333014
System_Failure,5,10,rf_smote,49,2161,166,0.07681628875520592,132,34,584,35,0.059931506849315065,0.916095890410959,0.5157627548862002,0.9032791986898272,0.1111111111111111,0.05714285714285714,0.07547169811320754,533,16,33,2,0.676216497527973,0.10482761956764325
System_Failure,5,10,rf_smote,50,2258,168,0.07440212577502214,132,34,487,33,0.06776180698151951,0.919917864476386,0.5255664077136363,0.8994897484729103,0.2,0.06060606060606061,0.09302325581395349,446,8,31,2,0.8021959684955279,0.17921864396415987
System_Failure,5,10,rf_smote,51,2191,165,0.07530807850296668,132,34,554,36,0.06498194945848375,0.927797833935018,0.4812734082397004,0.8999986478995119,0.0,0.0,0.0,514,4,36,0,0.7452809952809953,0.11514151790789673
System_Failure,5,10,rf_smote,52,2186,118,0.053979871912168347,132,34,559,83,0.148479427549195,0.855098389982111,0.5055852196416287,0.797837721649734,0.6666666666666666,0.04819277108433735,0.0898876404494382,474,2,79,4,0.8659765110863622,0.4806677691389686
System_Failure,5,10,rf_smote,53,2200,158,0.07181818181818182,132,34,545,43,0.07889908256880734,0.9174311926605505,0.5691699604743083,0.8953983391957065,0.4166666666666667,0.11627906976744186,0.18181818181818182,495,7,38,5,0.7677429815621235,0.2264527104275329
System_Failure,5,10,rf_smote,54,2244,140,0.062388591800356503,132,34,501,61,0.1217564870259481,0.8562874251497006,0.4747204100652377,0.8133946459364589,0.07692307692307693,0.01639344262295082,0.02702702702702703,428,12,60,1,0.7200260804769002,0.1958657090947843
System_Failure,5,10,rf_smote,55,2225,172,0.07730337078651685,132,34,520,29,0.05576923076923077,0.9057692307692308,0.47527749747729564,0.8975432740821236,0.0,0.0,0.0,471,20,29,0,0.6183720766907789,0.07127724997392584
System_Failure,5,10,rf_smote,56,2208,165,0.07472826086956522,132,34,537,36,0.0670391061452514,0.9180633147113594,0.5553966581363842,0.9031079886670306,0.25,0.1111111111111111,0.15384615384615385,489,12,32,4,0.7963517409625194,0.17860623259186806
System_Failure,5,10,rf_smote,57,2157,156,0.07232267037552156,132,34,588,45,0.07653061224489796,0.9013605442176871,0.506225748537673,0.8803267528126673,0.11764705882352941,0.044444444444444446,0.06451612903225806,528,15,43,2,0.746572539390219,0.14436583270303344
System_Failure,5,10,rf_smote,58,2128,132,0.06203007518796992,132,34,617,69,0.11183144246353323,0.8849270664505673,0.5082782386153173,0.8423796988617704,0.375,0.043478260869565216,0.07792207792207792,543,5,66,3,0.6945678620543743,0.22595716876628225
System_Failure,5,10,rf_smote,59,2185,166,0.07597254004576659,132,34,560,35,0.0625,0.9303571428571429,0.5284057783248041,0.9093654855217982,0.25,0.05714285714285714,0.09302325581395349,519,6,33,2,0.7560816326530613,0.13939267699654914
System_Failure,5,10,rf_smote,60,2252,122,0.0541740674955595,132,34,493,79,0.16024340770791076,0.8316430020283976,0.48744253629451484,0.7728562888213729,0.3,0.0379746835443038,0.06741573033707865,407,7,76,3,0.7710817586987098,0.33080105982455815
System_Failure,5,10,rf_smote,61,2139,168,0.0785413744740533,132,34,606,33,0.054455445544554455,0.933993399339934,0.48293515358361777,0.913273409252188,0.0,0.0,0.0,566,7,33,0,0.8066000317309218,0.12712890184513123
System_Failure,5,10,rf_smote,62,2296,122,0.05313588850174216,132,34,449,79,0.1759465478841871,0.8307349665924276,0.5009360009360009,0.7638716146511246,0.8,0.05063291139240506,0.09523809523809523,369,1,75,4,0.732466643859049,0.39078805786522147
System_Failure,5,10,rf_smote,63,2227,194,0.08711270767849125,132,34,518,7,0.013513513513513514,0.9073359073359073,0.4757085020242915,0.9385600175073858,0.0,0.0,0.0,470,41,7,0,0.6705339670114621,0.022323980046822477
System_Failure,5,10,rf_smote,64,2163,171,0.07905686546463246,132,34,582,30,0.05154639175257732,0.9381443298969072,0.5339857651245552,0.9232307297208057,0.2,0.06666666666666667,0.1,544,8,28,2,0.7725845410628019,0.15225043941350053
System_Failure,5,10,rf_smote,65,2173,169,0.07777266451909802,132,34,572,32,0.055944055944055944,0.9405594405594405,0.5596014492753623,0.92337336576467,0.375,0.09375,0.15,535,5,29,3,0.8671006944444444,0.23980519359072203
System_Failure,5,10,rf_smote,66,2232,154,0.06899641577060932,132,34,513,47,0.09161793372319688,0.9161793372319688,0.5563800904977376,0.8826915285532416,1.0,0.0851063829787234,0.1568627450980392,466,0,43,4,0.83681855538307,0.43444198934559364
System_Failure,5,10,rf_smote,67,2140,177,0.08271028037383178,132,34,605,24,0.03966942148760331,0.9454545454545454,0.48598130841121495,0.933405422105507,0.0,0.0,0.0,572,9,24,0,0.7823078026391279,0.10836859491570544
System_Failure,5,10,rf_smote,68,2184,168,0.07692307692307693,132,34,561,33,0.058823529411764705,0.9447415329768271,0.542883427520042,0.9210578803738607,1.0,0.06060606060606061,0.11428571428571428,528,0,31,2,0.7404155188246098,0.15990866245669563
System_Failure,5,10,rf_smote,69,2238,165,0.07372654155495978,132,34,507,36,0.07100591715976332,0.9171597633136095,0.5217840459935321,0.8948609159159477,0.2,0.05555555555555555,0.08695652173913043,463,8,34,2,0.7014331210191083,0.13405905222166262
System_Failure,5,10,rf_smote,70,2117,180,0.08502598016060463,132,34,628,21,0.03343949044585987,0.9697452229299363,0.6404182864719887,0.9615257486423003,0.6666666666666666,0.19047619047619047,0.2962962962962963,605,2,17,4,0.8541617635522084,0.22010475138052638
System_Failure,5,10,rf_smote,71,2236,145,0.0648479427549195,132,34,509,56,0.1100196463654224,0.8840864440078585,0.4855679462802131,0.8387193828826132,0.2,0.017857142857142856,0.03278688524590164,449,4,55,1,0.7893606117943865,0.2831948009820323
ProtectiveStop,10,3,rf_smote,42,1918,9,0.0046923879040667365,124,31,425,9,0.021176470588235293,0.9788235294117648,0.4946492271105826,0.968348604602364,0.0,0.0,0.0,416,0,9,0,0.9799679487179487,0.7508343508343508
ProtectiveStop,10,3,rf_smote,43,1859,9,0.004841312533620226,124,31,484,9,0.01859504132231405,0.981404958677686,0.49530761209593327,0.9721946931635054,0.0,0.0,0.0,475,0,9,0,0.7232748538011695,0.35878428087359504
