target,window_size,macro_f1_mean_all,positive_recall_mean_all,positive_f1_mean_all,pr_auc_mean_all,false_positive_rate_mean_all,macro_f1_mean_no_temp,positive_recall_mean_no_temp,positive_f1_mean_no_temp,pr_auc_mean_no_temp,false_positive_rate_mean_no_temp,macro_f1_mean_delta_no_temp,positive_recall_mean_delta_no_temp,positive_f1_mean_delta_no_temp,pr_auc_mean_delta_no_temp,false_positive_rate_mean_delta_no_temp
System_Failure,5,0.820467564233559,0.6105213699104161,0.6914377277829185,0.8133323539071049,0.024342525992326332,0.8314732602945341,0.705848513737259,0.7179628426164809,0.8083260573474881,0.047531997514599265,0.011005696060975012,0.09532714382684293,0.026525114833562458,-0.0050062965596168185,0.023189471522272933
System_Failure,10,0.8340474549396266,0.7296763622044562,0.7451335278013504,0.8243032735768566,0.06511340249770778,0.8579614649144143,0.7794486652094897,0.7838615926130614,0.8718088798766327,0.061672681977009564,0.023914009974787653,0.04977230300503355,0.03872806481171098,0.04750560629977607,-0.003440720520698215
System_Failure,20,0.7796472908594617,0.7926561706323727,0.764788049228335,0.86082467423539,0.2087321108532391,0.8075873797539656,0.7971396575002144,0.7831106210752935,0.8622160354926676,0.16671073195900907,0.027940088894503834,0.004483486867841724,0.018322571846958513,0.001391361257277568,-0.04202137889423002
ProtectiveStop,5,0.8274568002621245,0.6215560958929641,0.6783414142441503,0.7837989706468487,0.014805530673785233,0.8525784128166571,0.7280074519033743,0.7281887844619286,0.8036904834995441,0.02149572743833714,0.025121612554532602,0.10645135601041023,0.0498473702177783,0.019891512852695414,0.006690196764551907
ProtectiveStop,10,0.8650454005603643,0.7594405650216058,0.76199854253703,0.7949965578104742,0.029513963532195337,0.8605700808098486,0.7719035788445239,0.7542657559644537,0.8067740810208925,0.033691738298741294,-0.004475319750515627,0.012463013822918034,-0.007732786572576367,0.011777523210418361,0.004177774766545957
ProtectiveStop,20,0.7822107399486669,0.6334185684991845,0.6722212784584989,0.7833767321029698,0.0797396116376622,0.8124134810415353,0.6810408293265283,0.721009613019588,0.817011551519673,0.06701905397611259,0.030202741092868468,0.047622260827343776,0.04878833456108911,0.03363481941670321,-0.012720557661549614
GripLost,5,0.8507818325526312,0.6261999671105667,0.7230356581635746,0.8037913921412576,0.006437833673611426,0.8441199671863712,0.6809462899342349,0.7121339016833299,0.7757901998201241,0.016382948409553306,-0.006661865366260011,0.0547463228236682,-0.010901756480244718,-0.028001192321133517,0.00994511473594188
GripLost,10,0.8211415646286291,0.5764901268465447,0.674125311939338,0.8210069540717637,0.00774024392229456,0.8400134638370618,0.6630023694114416,0.7128418692203429,0.818003686367506,0.019804499294761874,0.018871899208432685,0.08651224256489698,0.03871655728100487,-0.0030032677042577394,0.012064255372467313
GripLost,20,0.8691250901105949,0.7092801161438815,0.7782485230688191,0.8764176806047397,0.010911271657133882,0.8759398810754981,0.7337037800181592,0.7911172291827424,0.8787697221386838,0.014681451545948397,0.006814790964903228,0.024423663874277635,0.012868706113923323,0.0023520415339440826,0.0037701798888145153
