target,model_variant,seed,test_block,event_cycle_count,detected_event_cycle_count,event_cycle_recall,normal_cycle_count,false_alarm_cycle_count,normal_cycle_false_alarm_rate,window_macro_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_pr_auc
GripLost,1d_cnn_19_raw,44,1,5,5,1.0,19,3,0.15789473684210525,0.8289806702822973,0.873015873015873,0.6111111111111112,0.7189542483660131,0.8588559513081591
GripLost,1d_cnn_19_raw,42,2,3,3,1.0,20,5,0.25,0.7785185900945878,0.4606741573033708,0.9761904761904762,0.6259541984732825,0.8131647798569811
GripLost,1d_cnn_19_raw,43,2,3,3,1.0,20,10,0.5,0.729233661504972,0.3883495145631068,0.9523809523809523,0.5517241379310345,0.7574797485431645
GripLost,1d_cnn_19_raw,44,2,3,3,1.0,20,7,0.35,0.7544460587293339,0.42857142857142855,0.9285714285714286,0.5864661654135338,0.7984659462960755
GripLost,1d_cnn_19_raw,42,3,5,5,1.0,19,2,0.10526315789473684,0.7841216216216216,0.5645161290322581,0.7,0.625,0.7003052964981465
GripLost,1d_cnn_19_raw,43,3,5,5,1.0,19,3,0.15789473684210525,0.8086683134965191,0.5694444444444444,0.82,0.6721311475409836,0.7019655850827313
GripLost,1d_cnn_19_raw,44,3,5,5,1.0,19,8,0.42105263157894735,0.7938131313131314,0.524390243902439,0.86,0.6515151515151515,0.6870375499589729
GripLost,1d_cnn_19_raw,42,4,7,7,1.0,10,1,0.1,0.9065343258891646,0.78,0.9069767441860465,0.8387096774193549,0.9506983491701092
GripLost,1d_cnn_19_raw,43,4,7,7,1.0,10,0,0.0,0.8940722360077199,0.76,0.8837209302325582,0.8172043010752689,0.9329560440048157
GripLost,1d_cnn_19_raw,44,4,7,7,1.0,10,0,0.0,0.9048055862365914,0.7916666666666666,0.8837209302325582,0.8351648351648352,0.9470711030039586
GripLost,1d_cnn_19_raw,42,5,1,1,1.0,24,5,0.20833333333333334,0.6702415555778289,0.2857142857142857,0.5,0.36363636363636365,0.5725874110602884
GripLost,1d_cnn_19_raw,43,5,1,1,1.0,24,7,0.2916666666666667,0.7258457948881112,0.3333333333333333,0.8333333333333334,0.47619047619047616,0.715763597105509
GripLost,1d_cnn_19_raw,44,5,1,1,1.0,24,6,0.25,0.7315952824332712,0.3333333333333333,0.9166666666666666,0.4888888888888889,0.6935340085382712
GripLost,1d_cnn_19_raw,42,7,4,4,1.0,20,4,0.2,0.750316100527071,0.44,0.7096774193548387,0.5432098765432098,0.6852199889950313
GripLost,1d_cnn_19_raw,43,7,4,4,1.0,20,3,0.15,0.7756190476190477,0.5,0.7096774193548387,0.5866666666666667,0.7188734251240437
GripLost,1d_cnn_19_raw,44,7,4,4,1.0,20,3,0.15,0.7351241074464467,0.4074074074074074,0.7096774193548387,0.5176470588235295,0.6996795970180641
GripLost,1d_cnn_19_raw,42,8,2,1,0.5,10,1,0.1,0.5293103448275862,0.18181818181818182,0.10526315789473684,0.13333333333333333,0.23975122190507903
GripLost,1d_cnn_19_raw,43,8,2,2,1.0,10,8,0.8,0.5752172610128858,0.22666666666666666,0.8947368421052632,0.3617021276595745,0.5351530875028353
GripLost,1d_cnn_19_raw,44,8,2,0,0.0,10,0,0.0,0.4735376044568245,0.0,0.0,0.0,0.16807276005476599
GripLost,1d_cnn_19_raw,42,9,6,6,1.0,20,5,0.25,0.6889146544336341,0.45348837209302323,0.4875,0.46987951807228917,0.5897962390613686
