target,model,seeds,test_blocks_per_seed,event_cycle_recall_mean,event_cycle_recall_std,event_cycle_recall_min,event_cycle_recall_max,event_cycle_recall_min_block_mean,event_cycle_recall_min_block_std,event_cycle_recall_min_block_min,event_cycle_recall_min_block_max,normal_cycle_false_alarm_rate_mean,normal_cycle_false_alarm_rate_std,normal_cycle_false_alarm_rate_min,normal_cycle_false_alarm_rate_max,normal_cycle_false_alarm_rate_max_block_mean,normal_cycle_false_alarm_rate_max_block_std,normal_cycle_false_alarm_rate_max_block_min,normal_cycle_false_alarm_rate_max_block_max,window_macro_f1_mean,window_macro_f1_std,window_macro_f1_min,window_macro_f1_max,window_positive_precision_mean,window_positive_precision_std,window_positive_precision_min,window_positive_precision_max,window_positive_recall_mean,window_positive_recall_std,window_positive_recall_min,window_positive_recall_max,window_positive_f1_mean,window_positive_f1_std,window_positive_f1_min,window_positive_f1_max,window_pr_auc_mean,window_pr_auc_std,window_pr_auc_min,window_pr_auc_max
System_Failure,1d_cnn,3,9,0.9731800766283526,0.010836885535426001,0.9655172413793104,0.9885057471264368,0.8833333333333334,0.062360956446232324,0.8,0.95,0.15942028985507248,0.02955953341213209,0.13043478260869565,0.2,0.6984126984126985,0.11878277418329972,0.5714285714285714,0.8571428571428571,0.8069037526860402,0.0020026319088775955,0.8052086641682017,0.8097161908431638,0.6911441432572379,0.015089749389036934,0.6765799256505576,0.7119341563786008,0.7299794661190965,0.015158955913997331,0.7104722792607803,0.7474332648870636,0.7097128922431608,0.0014813918583884392,0.7076923076923077,0.71120246659815,0.7265428477910513,0.005503124820931416,0.7194831827807022,0.7329094780768876
System_Failure,lstm,3,9,0.9616858237547893,0.014335852056605172,0.9425287356321839,0.9770114942528736,0.7333333333333334,0.09428090415820636,0.6,0.8,0.20579710144927535,0.008198339492017934,0.2,0.21739130434782608,0.746031746031746,0.18374344290143216,0.5714285714285714,1.0,0.7826738949449457,0.008446327907373895,0.7707802536495434,0.7895781367280679,0.6490080395035267,0.023477241130732338,0.6220400728597449,0.6792645556690501,0.7039698836413416,0.018543760690135615,0.6827515400410678,0.7279260780287474,0.674877642619578,0.011123676353773636,0.6592664092664092,0.6843629343629344,0.7124000414291096,0.006432774135467705,0.7042864763747095,0.7200203083743936
ProtectiveStop,1d_cnn,3,9,0.9354838709677419,0.0,0.9354838709677419,0.9354838709677419,0.5,0.13608276348795434,0.3333333333333333,0.6666666666666666,0.2023809523809524,0.012140522651411387,0.18571428571428572,0.21428571428571427,0.7101851851851851,0.13061136185786013,0.5555555555555556,0.875,0.806541514937332,0.016515563042704674,0.78347846988044,0.8212695509498977,0.5907887024906016,0.04138042043214302,0.5326340326340326,0.6255259467040674,0.7957371225577266,0.01187089263218674,0.783303730017762,0.8117229129662522,0.6769310530111629,0.024229852884503127,0.6432090077410274,0.6990595611285266,0.7791419446106552,0.0047731118992926655,0.7743362488730212,0.7856500162447155
ProtectiveStop,lstm,3,9,0.9086021505376344,0.007603298722435987,0.9032258064516129,0.9193548387096774,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.2119047619047619,0.03883215816738116,0.17142857142857143,0.2642857142857143,0.5231481481481481,0.07550697421435228,0.4444444444444444,0.625,0.8178446936780842,0.008679954073236023,0.8069415623654332,0.8281802842887427,0.606562387354495,0.017712179592992008,0.5840821566110398,0.6273712737127372,0.8146832445233866,0.005861157452108763,0.8081705150976909,0.822380106571936,0.6953004053654005,0.013754994739886943,0.6780923994038748,0.7117601844734819,0.7044319512349867,0.023163348216905043,0.6768551704925858,0.7335321646145868
GripLost,1d_cnn,3,9,0.9487179487179486,1.1102230246251565e-16,0.9487179487179487,0.9487179487179487,0.2222222222222222,0.31426968052735443,0.0,0.6666666666666666,0.32515337423312884,0.03912295801576481,0.294478527607362,0.3803680981595092,0.7571428571428571,0.04483951394230331,0.7,0.8095238095238095,0.7365776250643309,0.010750939746762219,0.721810055664967,0.7470940170940171,0.4517853190146246,0.02025694231189843,0.43007518796992483,0.4788273615635179,0.6888379204892966,0.03434415511500949,0.6559633027522935,0.7362385321100917,0.5451239526443886,0.018178628331683083,0.51952770208901,0.56,0.6182962206059364,0.015575252710547275,0.5977719167110236,0.6354827828328365
GripLost,lstm,3,9,0.9487179487179488,0.04187161953475517,0.8974358974358975,1.0,0.7222222222222222,0.20786985482077452,0.5,1.0,0.3762781186094069,0.07765577728444796,0.2822085889570552,0.4723926380368098,0.8333333333333334,0.12472191289246473,0.7,1.0,0.7277565981879818,0.022182412171008258,0.709276593291901,0.7589501010144896,0.4433752915084687,0.05159934416241378,0.40473061760841,0.5163043478260869,0.6666666666666666,0.028667176237389402,0.6399082568807339,0.7064220183486238,0.530216168527062,0.03362861019389967,0.4991055456171735,0.5769230769230769,0.6168603889062073,0.005064636677332213,0.6129762203090214,0.6240140701521423
System_Failure,rf_window_features,1,9,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.05217391304347826,0.0,0.05217391304347826,0.05217391304347826,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.8264910976270503,0.0,0.8264910976270503,0.8264910976270503,0.7730900798175598,0.0,0.7730900798175598,0.7730900798175598,0.6960985626283368,0.0,0.6960985626283368,0.6960985626283368,0.7325769854132901,0.0,0.7325769854132901,0.7325769854132901,0.8114810320820142,0.0,0.8114810320820142,0.8114810320820142
ProtectiveStop,rf_window_features,1,9,0.9516129032258065,0.0,0.9516129032258065,0.9516129032258065,0.5,0.0,0.5,0.5,0.04285714285714286,0.0,0.04285714285714286,0.04285714285714286,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.8762812274625564,0.0,0.8762812274625564,0.8762812274625564,0.8097928436911488,0.0,0.8097928436911488,0.8097928436911488,0.7637655417406749,0.0,0.7637655417406749,0.7637655417406749,0.7861060329067642,0.0,0.7861060329067642,0.7861060329067642,0.8455325785789873,0.0,0.8455325785789873,0.8455325785789873
GripLost,rf_window_features,1,9,0.9487179487179487,0.0,0.9487179487179487,0.9487179487179487,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.04294478527607362,0.0,0.04294478527607362,0.04294478527607362,0.2,0.0,0.2,0.2,0.7997962888261396,0.0,0.7997962888261396,0.7997962888261396,0.905982905982906,0.0,0.905982905982906,0.905982905982906,0.48623853211009177,0.0,0.48623853211009177,0.48623853211009177,0.6328358208955224,0.0,0.6328358208955224,0.6328358208955224,0.7441444536103634,0.0,0.7441444536103634,0.7441444536103634
