target,window_size,prediction_horizon,split,split_seed,model,train_windows,train_positive_count,train_positive_rate,train_cycle_runs,test_cycle_runs,train_cycle_ids,test_cycle_ids,test_windows,positive_count,positive_rate,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,tn,fp,fn,tp,roc_auc,pr_auc
System_Failure,5,3,cycle_run_group,42,rf_plain,2175,67,0.030804597701149426,132,34,132,34,570,11,0.01929824561403509,0.980701754385965,0.4951284322409212,0.9711466442900875,0.0,0.0,0.0,559,0,11,0,0.9519434054317775,0.44011410971088394
System_Failure,5,3,cycle_run_group,42,rf_smote,2175,67,0.030804597701149426,132,34,132,34,570,11,0.01929824561403509,0.9789473684210527,0.5660999746257295,0.9730071181506162,0.3333333333333333,0.09090909090909091,0.14285714285714285,557,2,10,1,0.9517807773621727,0.2599731880972164
System_Failure,5,5,cycle_run_group,42,rf_plain,2175,99,0.04551724137931035,132,34,132,34,570,15,0.02631578947368421,0.9736842105263158,0.49333333333333335,0.960701754385965,0.0,0.0,0.0,555,0,15,0,0.9118918918918919,0.4459140123191329
System_Failure,5,5,cycle_run_group,42,rf_smote,2175,99,0.04551724137931035,132,34,132,34,570,15,0.02631578947368421,0.9701754385964912,0.4924309884238646,0.9589445564043679,0.0,0.0,0.0,553,2,15,0,0.9139939939939941,0.26210531765946465
System_Failure,5,10,cycle_run_group,42,rf_plain,2175,176,0.08091954022988505,132,34,132,34,570,25,0.043859649122807015,0.9578947368421052,0.527689545642867,0.9389150960539036,1.0,0.04,0.07692307692307693,545,0,24,1,0.8801467889908257,0.451742058766088
System_Failure,5,10,cycle_run_group,42,rf_smote,2175,176,0.08091954022988505,132,34,132,34,570,25,0.043859649122807015,0.9543859649122807,0.5820171480144405,0.941927528659193,0.42857142857142855,0.12,0.1875,541,4,22,3,0.8940183486238532,0.32865697663640087
System_Failure,10,3,cycle_run_group,42,rf_plain,1610,42,0.02608695652173913,112,28,112,28,393,11,0.027989821882951654,0.9720101781170484,0.49290322580645163,0.9582139046211934,0.0,0.0,0.0,382,0,11,0,0.9118277010947168,0.2761220791896266
System_Failure,10,3,cycle_run_group,42,rf_smote,1610,42,0.02608695652173913,112,28,112,28,393,11,0.027989821882951654,0.9720101781170484,0.49290322580645163,0.9582139046211934,0.0,0.0,0.0,382,0,11,0,0.8744645406949071,0.11009535250199047
System_Failure,10,5,cycle_run_group,42,rf_plain,1610,70,0.043478260869565216,112,28,112,28,393,17,0.043256997455470736,0.9567430025445293,0.4889466840052016,0.9355926370786555,0.0,0.0,0.0,376,0,17,0,0.932337296620776,0.28455719653389366
System_Failure,10,5,cycle_run_group,42,rf_smote,1610,70,0.043478260869565216,112,28,112,28,393,17,0.043256997455470736,0.9541984732824428,0.48828125,0.9343193384223919,0.0,0.0,0.0,375,1,17,0,0.9245932415519399,0.2242367972281744
System_Failure,10,10,cycle_run_group,42,rf_plain,1610,136,0.084472049689441,112,28,112,28,393,25,0.06361323155216285,0.9287531806615776,0.4815303430079156,0.9017972835975213,0.0,0.0,0.0,365,3,25,0,0.8117391304347826,0.16262917739272229
System_Failure,10,10,cycle_run_group,42,rf_smote,1610,136,0.084472049689441,112,28,112,28,393,25,0.06361323155216285,0.9236641221374046,0.4801587301587302,0.8992285633507008,0.0,0.0,0.0,363,5,25,0,0.7282608695652174,0.11930683859330748
System_Failure,20,3,cycle_run_group,42,rf_plain,502,3,0.00597609561752988,97,25,97,25,138,1,0.007246376811594203,0.9927536231884058,0.49818181818181817,0.9891436100131752,0.0,0.0,0.0,137,0,1,0,0.875912408759124,0.05263157894736842
System_Failure,20,3,cycle_run_group,42,rf_smote,502,3,0.00597609561752988,97,25,97,25,138,1,0.007246376811594203,0.9927536231884058,0.49818181818181817,0.9891436100131752,0.0,0.0,0.0,137,0,1,0,0.8759124087591241,0.05555555555555555
System_Failure,20,5,cycle_run_group,42,rf_plain,502,3,0.00597609561752988,97,25,97,25,138,1,0.007246376811594203,0.9927536231884058,0.49818181818181817,0.9891436100131752,0.0,0.0,0.0,137,0,1,0,0.875912408759124,0.05263157894736842
