target,model_variant,test_block,event_cycle_count,detected_event_cycle_count,event_cycle_recall,normal_cycle_count,false_alarm_cycle_count,normal_cycle_false_alarm_rate
ProtectiveStop,lstm_autoencoder_19_raw_q97.5,3,3,0,0.0,21,0,0.0
GripLost,lstm_autoencoder_19_raw_q90,3,5,0,0.0,19,1,0.05263157894736842
GripLost,lstm_autoencoder_19_raw_q95,3,5,0,0.0,19,0,0.0
GripLost,lstm_autoencoder_19_raw_q97.5,3,5,0,0.0,19,0,0.0
System_Failure,lstm_autoencoder_19_raw_q90,4,9,0,0.0,8,2,0.25
System_Failure,lstm_autoencoder_19_raw_q95,4,9,0,0.0,8,1,0.125
System_Failure,lstm_autoencoder_19_raw_q97.5,4,9,0,0.0,8,1,0.125
ProtectiveStop,lstm_autoencoder_19_raw_q90,4,3,0,0.0,14,2,0.14285714285714285
ProtectiveStop,lstm_autoencoder_19_raw_q95,4,3,0,0.0,14,1,0.07142857142857142
ProtectiveStop,lstm_autoencoder_19_raw_q97.5,4,3,0,0.0,14,1,0.07142857142857142
GripLost,lstm_autoencoder_19_raw_q90,4,7,0,0.0,10,2,0.2
GripLost,lstm_autoencoder_19_raw_q95,4,7,0,0.0,10,1,0.1
GripLost,lstm_autoencoder_19_raw_q97.5,4,7,0,0.0,10,1,0.1
System_Failure,lstm_autoencoder_19_raw_q90,5,6,2,0.3333333333333333,19,8,0.42105263157894735
System_Failure,lstm_autoencoder_19_raw_q95,5,6,2,0.3333333333333333,19,7,0.3684210526315789
System_Failure,lstm_autoencoder_19_raw_q97.5,5,6,2,0.3333333333333333,19,7,0.3684210526315789
ProtectiveStop,lstm_autoencoder_19_raw_q90,5,5,2,0.4,20,8,0.4
ProtectiveStop,lstm_autoencoder_19_raw_q95,5,5,2,0.4,20,7,0.35
ProtectiveStop,lstm_autoencoder_19_raw_q97.5,5,5,2,0.4,20,7,0.35
GripLost,lstm_autoencoder_19_raw_q90,5,1,0,0.0,24,10,0.4166666666666667
GripLost,lstm_autoencoder_19_raw_q95,5,1,0,0.0,24,9,0.375
GripLost,lstm_autoencoder_19_raw_q97.5,5,1,0,0.0,24,9,0.375
