target,window_size,feature_set,model,decision_threshold,test_block,train_blocks,train_cycle_runs,train_windows,eligible_test_cycle_runs,event_cycle_count,detected_event_cycle_count,event_cycle_recall,normal_cycle_count,false_alarm_cycle_count,normal_cycle_false_alarm_rate,false_positive_windows_on_normal_cycles,false_positive_windows_per_normal_cycle,normal_window_false_positive_rate,detected_event_delay_steps_mean,detected_event_delay_steps_median,detected_event_delay_steps_max,window_false_positive_rate,window_test_windows,window_positive_count,window_positive_rate,window_accuracy,window_macro_f1,window_weighted_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_tn,window_fp,window_fn,window_tp,window_roc_auc,window_pr_auc
System_Failure,10,all_sensors,rf_smote,0.5,1,8,178,3606,24,7,7,1.0,17,1,0.058823529411764705,1,0.058823529411764705,0.003816793893129771,4.428571428571429,0.0,13.0,0.028846153846153848,429,117,0.2727272727272727,0.8321678321678322,0.7469026548672566,0.8136765888978278,0.8571428571428571,0.46153846153846156,0.6,303,9,63,54,0.9331580100810869,0.7892392977154885
System_Failure,10,all_sensors,rf_smote,0.5,2,8,179,3614,23,5,5,1.0,18,0,0.0,0,0.0,0.0,3.2,2.0,11.0,0.1308139534883721,421,77,0.1828978622327791,0.8527315914489311,0.7827006327006327,0.8609360552353427,0.5714285714285714,0.7792207792207793,0.6593406593406593,299,45,17,60,0.9175098157656297,0.6324857706524255
System_Failure,10,all_sensors,rf_smote,0.5,3,8,178,3609,24,6,6,1.0,18,3,0.16666666666666666,5,0.2777777777777778,0.017605633802816902,1.8333333333333333,0.0,9.0,0.061946902654867256,426,87,0.20422535211267606,0.903755868544601,0.852576492930998,0.9039597704394757,0.7613636363636364,0.7701149425287356,0.7657142857142857,318,21,20,67,0.940579120469264,0.8370377745794841
System_Failure,10,all_sensors,rf_smote,0.5,4,8,185,3696,17,9,9,1.0,8,1,0.125,6,0.75,0.048,1.4444444444444444,0.0,10.0,0.16205533596837945,339,86,0.2536873156342183,0.8259587020648967,0.7876413441630833,0.8320788356186586,0.6238532110091743,0.7906976744186046,0.6974358974358974,212,41,18,68,0.8936712933174005,0.7441469494720291
System_Failure,10,all_sensors,rf_smote,0.5,5,8,177,3565,25,6,6,1.0,19,1,0.05263157894736842,1,0.05263157894736842,0.0038022813688212928,0.0,0.0,0.0,0.04627249357326478,470,81,0.1723404255319149,0.9319148936170213,0.8829426232060023,0.9325592655961136,0.788235294117647,0.8271604938271605,0.8072289156626506,371,18,14,67,0.9530768986638738,0.8436081940459127
System_Failure,10,all_sensors,rf_smote,0.5,7,8,178,3560,24,9,9,1.0,15,0,0.0,0,0.0,0.0,1.2222222222222223,0.0,11.0,0.013333333333333334,475,100,0.21052631578947367,0.9347368421052632,0.8933040598801527,0.9317973541771304,0.9367088607594937,0.74,0.8268156424581006,370,5,26,74,0.96248,0.9196894225989866
System_Failure,10,all_sensors,rf_smote,0.5,8,8,190,3846,12,5,5,1.0,7,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.026143790849673203,189,36,0.19047619047619047,0.9576719576719577,0.9313725490196079,0.9576719576719577,0.8888888888888888,0.8888888888888888,0.8888888888888888,149,4,4,32,0.9919208424110385,0.9683698622204647
System_Failure,10,all_sensors,rf_smote,0.5,9,8,176,3474,26,20,20,1.0,6,0,0.0,0,0.0,0.0,2.15,0.0,17.0,0.03183023872679045,561,184,0.32798573975044565,0.8556149732620321,0.8198365718952824,0.8474574977504132,0.905511811023622,0.625,0.7395498392282959,365,12,69,115,0.862652808211279,0.8416510542133959
System_Failure,10,all_sensors,rf_smote,0.5,10,8,175,3310,27,20,20,1.0,7,0,0.0,0,0.0,0.0,0.6,0.0,9.0,0.08477842003853564,725,206,0.28413793103448276,0.8496551724137931,0.8091501657936238,0.8471084504406687,0.7621621621621621,0.6844660194174758,0.7212276214833759,475,44,65,141,0.8996436388125035,0.8425011366935224
System_Failure,10,no_temperature,rf_smote,0.5,1,8,178,3606,24,7,7,1.0,17,3,0.17647058823529413,3,0.17647058823529413,0.011450381679389313,4.142857142857143,0.0,12.0,0.041666666666666664,429,117,0.2727272727272727,0.8298368298368298,0.7504164109757167,0.8144122030332251,0.8142857142857143,0.48717948717948717,0.6096256684491979,299,13,60,57,0.8576457374534299,0.7309180481828147
